"",BBK01.OEBB23S,BBK01.OEBB23S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:48,
2002-01,0.010,
2002-04,0.011,
2002-07,0.010,
2002-10,0.013,
2003-01,0.015,
2003-04,0.016,
2003-07,0.016,
2003-10,0.054,
2004-01,0.056,
2004-04,0.048,
2004-07,0.029,
2004-10,0.024,
2005-01,0.025,
2005-04,0.059,
2005-07,0.059,
2005-10,0.061,
2006-01,0.059,
2006-04,0.053,
2006-07,0.052,
2006-10,0.056,
2007-01,0.059,
2007-04,0.045,
2007-07,0.045,
2007-10,0.026,
2008-01,0.026,
2008-04,0.058,
2008-07,0.063,
2008-10,0.066,
2009-01,0.060,
2009-04,0.011,
2009-07,0.013,
2009-10,0.011,
2010-01,0.010,
2010-04,0.014,
2010-07,0.019,
2010-10,0.013,
2011-01,0.013,
2011-04,0.018,
2011-07,0.014,
2011-10,0.014,
2012-01,0.011,
2012-04,0.011,
2012-07,0.010,
2012-10,0.012,
2013-01,0.012,
2013-04,0.012,
2013-07,0.013,
2013-10,0.016,
2014-01,0.016,
2014-04,0.016,
2014-07,0.020,
