"",BBK01.OEYI04L,BBK01.OEYI04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:55,
2002-01,3.800,
2002-04,3.846,
2002-07,3.930,
2002-10,3.950,
2003-01,4.393,
2003-04,5.104,
2003-07,5.376,
2003-10,5.250,
2004-01,4.697,
2004-04,4.929,
2004-07,4.509,
2004-10,4.337,
2005-01,4.425,
2005-04,5.554,
2005-07,6.521,
2005-10,4.605,
2006-01,4.443,
2006-04,4.408,
2006-07,5.009,
2006-10,4.038,
2007-01,5.043,
2007-04,6.969,
2007-07,6.831,
2007-10,8.151,
2008-01,9.641,
2008-04,10.105,
2008-07,12.252,
2008-10,14.093,
2009-01,12.993,
2009-04,10.841,
2009-07,8.369,
2009-10,9.273,
2010-01,8.984,
2010-04,9.891,
2010-07,9.527,
2010-10,9.822,
2011-01,9.854,
2011-04,11.415,
2011-07,14.980,
2011-10,10.659,
2012-01,9.500,
2012-04,7.667,
2012-07,8.199,
2012-10,7.460,
2013-01,6.342,
2013-04,6.893,
2013-07,6.089,
2013-10,8.390,
2014-01,6.925,
2014-04,5.419,
2014-07,4.204,
