"",BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S1.S1.LE.N.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Net (Assets minus Liabilities) - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:59,
1999-10,-223532,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,-323904,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,-330115,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-166064,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-45581,
2004-01,-68611,
2004-04,-36879,
2004-07,-1211,
2004-10,40285,
2005-01,51646,
2005-04,87975,
2005-07,115114,
2005-10,132733,
2006-01,151539,
2006-04,194314,
2006-07,200743,
2006-10,242802,
2007-01,248827,
2007-04,311429,
2007-07,322174,
2007-10,393090,
2008-01,364791,
2008-04,385007,
2008-07,400374,
2008-10,506262,
2009-01,515862,
2009-04,541281,
2009-07,525339,
2009-10,578277,
2010-01,547176,
2010-04,530074,
2010-07,585957,
2010-10,584495,
2011-01,595512,
2011-04,671134,
2011-07,730744,
2011-10,767572,
2012-01,703154,
2012-04,790470,
2012-07,765195,
2012-10,783477,
2013-01,765761,
2013-04,782365,
2013-07,789512,
2013-10,809105,
2014-01,808131,
2014-04,821975,
2014-07,850610,
