"",BBQFS.M.DE.BANK.TA_GDP._X.0000,BBQFS.M.DE.BANK.TA_GDP._X.0000_FLAGS
"",Total assets of German banks in relation to gross domestic product (FSR 2014),
unit,% des BIP/% of GDP (hypothetically euro-based),
unit multiplier,one,
last update,2015-01-07 17:09:31,
1999-01,265.61,
1999-02,263.22,
1999-03,265.20,
1999-04,266.74,
1999-05,268.76,
1999-06,269.66,
1999-07,269.28,
1999-08,271.63,
1999-09,274.29,
1999-10,275.64,
1999-11,279.89,
1999-12,279.05,
2000-01,278.18,
2000-02,279.07,
2000-03,282.87,
2000-04,283.13,
2000-05,285.54,
2000-06,282.63,
2000-07,281.51,
2000-08,284.09,
2000-09,285.47,
2000-10,287.84,
2000-11,290.49,
2000-12,290.86,
2001-01,287.61,
2001-02,291.21,
2001-03,296.71,
2001-04,295.83,
2001-05,297.12,
2001-06,295.74,
2001-07,290.92,
2001-08,291.34,
2001-09,293.99,
2001-10,291.53,
2001-11,293.80,
2001-12,292.96,
2002-01,289.71,
2002-02,288.54,
2002-03,290.29,
2002-04,289.44,
2002-05,291.13,
2002-06,288.20,
2002-07,286.30,
2002-08,287.38,
2002-09,289.64,
2002-10,289.62,
2002-11,293.94,
2002-12,291.99,
2003-01,290.27,
2003-02,292.09,
2003-03,292.51,
2003-04,292.00,
2003-05,293.76,
2003-06,294.04,
2003-07,291.58,
2003-08,290.23,
2003-09,290.56,
2003-10,289.80,
2003-11,292.40,
2003-12,291.44,
2004-01,289.71,
2004-02,290.79,
2004-03,293.25,
2004-04,294.06,
2004-05,294.70,
2004-06,293.31,
2004-07,293.18,
2004-08,292.80,
2004-09,294.29,
2004-10,294.96,
2004-11,297.52,
2004-12,294.80,
2005-01,296.58,
2005-02,298.59,
2005-03,298.71,
2005-04,306.17,
2005-05,305.45,
2005-06,303.55,
2005-07,302.91,
2005-08,302.01,
2005-09,303.02,
2005-10,302.09,
2005-11,303.69,
2005-12,300.88,
2006-01,302.04,
2006-02,303.13,
2006-03,304.65,
2006-04,304.59,
2006-05,305.66,
2006-06,304.44,
2006-07,299.82,
2006-08,299.61,
2006-09,301.47,
2006-10,297.61,
2006-11,300.14,
2006-12,300.64,
2007-01,297.89,
2007-02,299.45,
2007-03,301.76,
2007-04,300.81,
2007-05,302.07,
2007-06,301.65,
2007-07,297.44,
2007-08,299.39,
2007-09,302.81,
2007-10,299.71,
2007-11,301.79,
2007-12,303.38,
2008-01,300.75,
2008-02,301.61,
2008-03,303.40,
2008-04,304.77,
2008-05,304.92,
2008-06,303.32,
2008-07,301.92,
2008-08,304.66,
2008-09,310.57,
2008-10,316.81,
2008-11,315.10,
2008-12,311.46,
2009-01,316.44,
2009-02,314.08,
2009-03,311.27,
2009-04,316.42,
2009-05,311.68,
2009-06,312.68,
2009-07,312.08,
2009-08,311.35,
2009-09,308.45,
2009-10,308.39,
2009-11,308.19,
2009-12,305.93,
2010-01,304.00,
2010-02,303.89,
2010-03,304.10,
2010-04,304.99,
2010-05,309.46,
2010-06,307.86,
2010-07,295.92,
2010-08,299.07,
2010-09,293.97,
2010-10,290.70,
2010-11,295.02,
2010-12,324.93,
2011-01,315.32,
2011-02,313.73,
2011-03,306.51,
2011-04,304.48,
2011-05,306.31,
2011-06,300.24,
2011-07,301.43,
2011-08,311.25,
2011-09,319.68,
2011-10,311.81,
2011-11,313.81,
2011-12,314.16,
2012-01,316.94,
2012-02,317.24,
2012-03,317.11,
2012-04,318.23,
2012-05,327.80,
2012-06,319.58,
2012-07,321.23,
2012-08,320.11,
2012-09,315.42,
2012-10,311.14,
2012-11,310.02,
2012-12,302.18,
2013-01,296.75,
2013-02,296.23,
2013-03,295.12,
2013-04,294.00,
2013-05,288.78,
2013-06,284.99,
2013-07,280.51,
2013-08,277.99,
2013-09,277.87,
2013-10,275.32,
2013-11,276.53,
2013-12,270.21,
2014-01,270.22,
2014-02,267.80,
2014-03,265.99,
2014-04,264.84,
2014-05,267.51,
2014-06,266.42,
2014-07,266.82,
2014-08,270.07,
2014-09,269.94,
"",Methodology: Annualised quarterly data have been used for the gross domestic product. Within the Bilanzrechtsmodernisierungsgesetz the calculation of total assets (inclusion of derivative trading securities) was adjusted in 2010.,
