"",BBK01.OELB08M,BBK01.OELB08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:08,
2002-01,20.017,
2002-04,20.348,
2002-07,20.687,
2002-10,21.070,
2003-01,21.073,
2003-04,21.401,
2003-07,21.817,
2003-10,22.214,
2004-01,22.292,
2004-04,22.543,
2004-07,22.814,
2004-10,23.183,
2005-01,23.229,
2005-04,23.507,
2005-07,23.846,
2005-10,24.234,
2006-01,24.411,
2006-04,24.882,
2006-07,25.200,
2006-10,25.453,
2007-01,25.490,
2007-04,25.705,
2007-07,25.971,
2007-10,26.159,
2008-01,26.184,
2008-04,26.432,
2008-07,26.801,
2008-10,26.961,
2009-01,27.111,
2009-04,27.489,
2009-07,27.883,
2009-10,28.377,
2010-01,28.563,
2010-04,29.124,
2010-07,29.747,
2010-10,30.364,
2011-01,30.672,
2011-04,31.228,
2011-07,31.751,
2011-10,32.349,
2012-01,32.630,
2012-04,34.892,
2012-07,35.413,
2012-10,35.833,
2013-01,35.964,
2013-04,36.352,
2013-07,36.755,
2013-10,37.180,
2014-01,37.454,
2014-04,37.923,
2014-07,38.522,
