"",BBK01.OEAA03N,BBK01.OEAA03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:01,
2002-01,81.273,
2002-04,80.226,
2002-07,79.056,
2002-10,78.739,
2003-01,79.576,
2003-04,78.889,
2003-07,74.981,
2003-10,73.815,
2004-01,75.384,
2004-04,70.948,
2004-07,68.631,
2004-10,66.729,
2005-01,71.879,
2005-04,67.787,
2005-07,66.268,
2005-10,67.094,
2006-01,67.645,
2006-04,71.781,
2006-07,76.139,
2006-10,77.562,
2007-01,76.697,
2007-04,79.006,
2007-07,79.295,
2007-10,84.509,
2008-01,78.698,
2008-04,82.616,
2008-07,89.924,
2008-10,92.402,
2009-01,84.821,
2009-04,85.467,
2009-07,88.797,
2009-10,78.609,
2010-01,80.378,
2010-04,105.398,
2010-07,88.428,
2010-10,85.110,
2011-01,82.433,
2011-04,85.111,
2011-07,98.524,
2011-10,95.507,
2012-01,90.346,
2012-04,93.020,
2012-07,91.135,
2012-10,75.551,
2013-01,83.027,
2013-04,80.784,
2013-07,60.790,
2013-10,58.934,
2014-01,62.246,
2014-04,62.169,
2014-07,60.781,
