"",BBK01.OEAF23O,BBK01.OEAF23O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:00,
2002-01,1.835,
2002-04,1.830,
2002-07,1.835,
2002-10,1.817,
2003-01,1.780,
2003-04,1.836,
2003-07,1.817,
2003-10,1.796,
2004-01,1.799,
2004-04,1.807,
2004-07,1.770,
2004-10,1.707,
2005-01,1.713,
2005-04,1.699,
2005-07,1.638,
2005-10,1.581,
2006-01,1.553,
2006-04,1.537,
2006-07,1.587,
2006-10,1.570,
2007-01,1.570,
2007-04,1.579,
2007-07,1.573,
2007-10,1.557,
2008-01,1.512,
2008-04,1.531,
2008-07,1.499,
2008-10,1.471,
2009-01,1.378,
2009-04,1.369,
2009-07,1.350,
2009-10,1.327,
2010-01,1.367,
2010-04,1.429,
2010-07,1.430,
2010-10,1.438,
2011-01,1.461,
2011-04,1.510,
2011-07,1.575,
2011-10,1.613,
2012-01,1.626,
2012-04,1.624,
2012-07,1.623,
2012-10,1.584,
2013-01,1.543,
2013-04,1.507,
2013-07,1.484,
2013-10,1.449,
2014-01,1.392,
2014-04,1.362,
2014-07,1.377,
