"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:41,
1991-01,-8.692,
1991-04,-27.502,
1991-07,132.329,
1991-10,12.207,
1992-01,-25.004,
1992-04,45.064,
1992-07,-140.508,
1992-10,369.606,
1993-01,513.590,
1993-04,3.526,
1993-07,-28.753,
1993-10,1.036,
1994-01,-123.270,
1994-04,11.809,
1994-07,65.771,
1994-10,-41.201,
1995-01,102.794,
1995-04,-7.919,
1995-07,32.590,
1995-10,63.043,
1996-01,-143.348,
1996-04,1.727,
1996-07,-124.000,
1996-10,249.516,
1997-01,169.486,
1997-04,63.067,
1997-07,156.985,
1997-10,-1.885,
1998-01,196.644,
1998-04,61.159,
1998-07,366.933,
1998-10,221.341,
1999-01,-132.540,
1999-04,312.422,
1999-07,269.991,
1999-10,216.439,
2000-01,378.200,
2000-04,-61.398,
2000-07,213.444,
2000-10,491.036,
2001-01,306.587,
2001-04,179.317,
2001-07,-130.546,
2001-10,218.041,
2002-01,-149.507,
2002-04,-184.478,
2002-07,1453.809,
2002-10,-935.385,
2003-01,168.863,
2003-04,50.635,
2003-07,1201.247,
2003-10,1202.806,
2004-01,-328.718,
2004-04,-636.058,
2004-07,-1308.803,
2004-10,229.128,
2005-01,512.478,
2005-04,4812.919,
2005-07,2754.964,
2005-10,-13.492,
2006-01,-3904.889,
2006-04,681.676,
2006-07,175.549,
2006-10,377.224,
2007-01,-107.811,
2007-04,-881.714,
2007-07,-483.003,
2007-10,-50.973,
2008-01,-262.516,
2008-04,13333.427,
2008-07,-606.207,
2008-10,877.136,
2009-01,-349.507,
2009-04,42.389,
2009-07,-355.505,
2009-10,-1256.609,
2010-01,-1076.229,
2010-04,-427.311,
2010-07,-510.198,
2010-10,-5661.886,
2011-01,321.755,
2011-04,290.079,
2011-07,-8.659,
2011-10,376.220,
2012-01,-18.749,
2012-04,793.574,
2012-07,-208.690,
2012-10,-336.306,
2013-01,-576.939,
2013-04,621.964,
2013-07,-291.629,
2013-10,818.377,
2014-01,-271.912,Provisional value
2014-04,-367.824,Provisional value
2014-07,437.895,Provisional value
2014-10,-268.378,Provisional value
