"",BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Liabilities - Positions - resident issuer: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:34,
1999-10,250963,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,309085,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,380993,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,451374,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,474930,
2004-01,523342,
2004-04,534413,
2004-07,564100,
2004-10,566989,
2005-01,600822,
2005-04,662637,
2005-07,661056,
2005-10,662361,
2006-01,658808,
2006-04,639583,
2006-07,659458,
2006-10,668533,
2007-01,705247,
2007-04,719652,
2007-07,744687,
2007-10,771610,
2008-01,778900,
2008-04,755358,
2008-07,779603,
2008-10,786382,
2009-01,769459,
2009-04,747719,
2009-07,737642,
2009-10,723043,
2010-01,746804,
2010-04,774014,
2010-07,750165,
2010-10,707323,
2011-01,669710,
2011-04,678477,
2011-07,717963,
2011-10,725513,
2012-01,718795,
2012-04,732910,
2012-07,732212,
2012-10,721014,
2013-01,711451,
2013-04,672842,
2013-07,647065,
2013-10,630036,
2014-01,624650,
2014-04,630113,
2014-07,654871,
