"",BBK01.OEAH40O,BBK01.OEAH40O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:02,
2002-01,0.223,
2002-04,0.224,
2002-07,0.210,
2002-10,0.217,
2003-01,0.204,
2003-04,0.208,
2003-07,0.187,
2003-10,0.193,
2004-01,0.216,
2004-04,0.216,
2004-07,0.204,
2004-10,0.211,
2005-01,0.207,
2005-04,0.185,
2005-07,0.177,
2005-10,0.171,
2006-01,0.162,
2006-04,0.159,
2006-07,0.152,
2006-10,0.150,
2007-01,0.146,
2007-04,0.151,
2007-07,0.148,
2007-10,0.134,
2008-01,0.134,
2008-04,0.122,
2008-07,0.122,
2008-10,0.120,
2009-01,0.114,
2009-04,0.122,
2009-07,0.141,
2009-10,0.146,
2010-01,0.150,
2010-04,0.149,
2010-07,0.164,
2010-10,0.169,
2011-01,0.157,
2011-04,0.161,
2011-07,0.170,
2011-10,0.168,
2012-01,0.192,
2012-04,0.200,
2012-07,0.223,
2012-10,0.195,
2013-01,0.235,
2013-04,0.278,
2013-07,0.322,
2013-10,0.274,
2014-01,0.332,
2014-04,0.352,
2014-07,0.357,
