"",BBSF2.M.1.P.00000.TOT01.I.F.SVB.DE.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.TOT01.I.F.SVB.DE.00000.F33200.Z01.M1_FLAGS
"",Public funds / Funds total / Long-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:51,
2009-09,27694,
2009-10,27357,
2009-11,28264,
2009-12,28089,
2010-01,28211,
2010-02,28998,
2010-03,29867,
2010-04,31214,
2010-05,32185,
2010-06,32108,
2010-07,32256,
2010-08,33067,
2010-09,32888,
2010-10,31931,
2010-11,31707,
2010-12,32213,
2011-01,31538,
2011-02,30948,
2011-03,30160,
2011-04,29937,
2011-05,30412,
2011-06,30263,
2011-07,31778,
2011-08,32679,
2011-09,33001,
2011-10,32812,
2011-11,32327,
2011-12,31833,
2012-01,31986,
2012-02,31799,
2012-03,30933,
2012-04,31511,
2012-05,32100,
2012-06,30880,
2012-07,31118,
2012-08,30544,
2012-09,29814,
2012-10,29393,
2012-11,28751,
2012-12,28667,
2013-01,28250,
2013-02,29601,
2013-03,29729,
2013-04,29415,
2013-05,29688,
2013-06,29272,
2013-07,29371,
2013-08,29487,
2013-09,29093,
2013-10,28362,
2013-11,27010,
2013-12,26246,
2014-01,26579,
2014-02,26500,
2014-03,25949,
2014-04,26132,
2014-05,26099,
2014-06,26191,
2014-07,26673,
2014-08,27040,
2014-09,26767,
2014-10,26773,
2014-11,26458,
