"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:24,
1999-10,559999,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,585329,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,653897,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,777958,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,864633,
2004-01,908987,
2004-04,887771,
2004-07,943428,
2004-10,964487,
2005-01,1049617,
2005-04,1086036,
2005-07,1115469,
2005-10,1109086,
2006-01,1180347,
2006-04,1212436,
2006-07,1230850,
2006-10,1249497,
2007-01,1291222,
2007-04,1376948,
2007-07,1431745,
2007-10,1453912,
2008-01,1512136,
2008-04,1494852,
2008-07,1569126,
2008-10,1529650,
2009-01,1505992,
2009-04,1513742,
2009-07,1440820,
2009-10,1460883,
2010-01,1499081,
2010-04,1581264,
2010-07,1613311,
2010-10,1572619,
2011-01,1529613,
2011-04,1569437,
2011-07,1737500,
2011-10,1699372,
2012-01,1850166,
2012-04,1964965,
2012-07,1931012,
2012-10,1823128,
2013-01,1775387,
2013-04,1760930,
2013-07,1708789,
2013-10,1644983,
2014-01,1653819,
2014-04,1682796,
2014-07,1731903,
