"",BBK01.OEAC35P,BBK01.OEAC35P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:25,
2002-01,0.095,
2002-04,0.097,
2002-07,0.097,
2002-10,0.098,
2003-01,0.100,
2003-04,0.097,
2003-07,0.100,
2003-10,0.095,
2004-01,0.089,
2004-04,0.089,
2004-07,0.080,
2004-10,0.079,
2005-01,0.076,
2005-04,0.096,
2005-07,0.085,
2005-10,0.085,
2006-01,0.086,
2006-04,0.084,
2006-07,0.092,
2006-10,0.094,
2007-01,0.086,
2007-04,0.083,
2007-07,0.088,
2007-10,0.100,
2008-01,0.107,
2008-04,0.106,
2008-07,0.124,
2008-10,0.120,
2009-01,0.111,
2009-04,0.117,
2009-07,0.125,
2009-10,0.132,
2010-01,0.138,
2010-04,0.107,
2010-07,0.114,
2010-10,0.121,
2011-01,0.114,
2011-04,0.105,
2011-07,0.106,
2011-10,0.106,
2012-01,0.123,
2012-04,0.122,
2012-07,0.122,
2012-10,0.121,
2013-01,0.130,
2013-04,0.138,
2013-07,0.129,
2013-10,0.122,
2014-01,0.121,
2014-04,0.122,
2014-07,0.120,
