"",BBK01.OEAH77K,BBK01.OEAH77K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:56,
2002-01,2.111,
2002-04,2.113,
2002-07,2.284,
2002-10,2.300,
2003-01,2.299,
2003-04,2.307,
2003-07,2.240,
2003-10,2.327,
2004-01,2.002,
2004-04,1.904,
2004-07,1.001,
2004-10,0.928,
2005-01,0.880,
2005-04,0.855,
2005-07,0.874,
2005-10,0.882,
2006-01,0.935,
2006-04,0.905,
2006-07,0.907,
2006-10,0.907,
2007-01,0.930,
2007-04,0.941,
2007-07,0.886,
2007-10,0.893,
2008-01,0.927,
2008-04,0.920,
2008-07,0.906,
2008-10,0.433,
2009-01,0.355,
2009-04,0.368,
2009-07,0.343,
2009-10,0.351,
2010-01,0.353,
2010-04,0.350,
2010-07,0.322,
2010-10,0.277,
2011-01,0.263,
2011-04,0.261,
2011-07,0.277,
2011-10,0.293,
2012-01,0.308,
2012-04,0.261,
2012-07,0.266,
2012-10,0.231,
2013-01,0.218,
2013-04,0.222,
2013-07,0.329,
2013-10,0.324,
2014-01,0.298,
2014-04,0.285,
2014-07,0.227,
