"",BBK01.OEAD34G,BBK01.OEAD34G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:39,
2002-01,1.077,
2002-04,1.032,
2002-07,0.984,
2002-10,0.958,
2003-01,0.918,
2003-04,0.898,
2003-07,0.872,
2003-10,0.635,
2004-01,0.602,
2004-04,0.583,
2004-07,0.568,
2004-10,0.525,
2005-01,0.493,
2005-04,0.484,
2005-07,0.476,
2005-10,0.458,
2006-01,0.445,
2006-04,0.437,
2006-07,0.469,
2006-10,0.467,
2007-01,0.469,
2007-04,0.470,
2007-07,0.467,
2007-10,0.463,
2008-01,0.464,
2008-04,0.456,
2008-07,0.458,
2008-10,0.431,
2009-01,0.417,
2009-04,0.452,
2009-07,0.458,
2009-10,0.456,
2010-01,0.437,
2010-04,0.446,
2010-07,0.439,
2010-10,0.510,
2011-01,0.531,
2011-04,0.470,
2011-07,0.459,
2011-10,0.457,
2012-01,0.454,
2012-04,0.445,
2012-07,0.439,
2012-10,0.434,
2013-01,0.392,
2013-04,0.385,
2013-07,0.371,
2013-10,0.372,
2014-01,0.360,
2014-04,0.370,
2014-07,0.371,
