"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F81.T._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.O.F81.T._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Trade credits and advances / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:39,
1991-01,3210.913,
1991-04,3726.295,
1991-07,-554.240,
1991-10,-1642.270,
1992-01,-8141.301,
1992-04,-1051.216,
1992-07,-2554.414,
1992-10,-2247.639,
1993-01,623.776,
1993-04,178.441,
1993-07,-2024.205,
1993-10,-319.046,
1994-01,3027.359,
1994-04,967.876,
1994-07,-110.439,
1994-10,2801.368,
1995-01,2231.233,
1995-04,2306.127,
1995-07,-250.256,
1995-10,-341.710,
1996-01,995.354,
1996-04,947.606,
1996-07,-784.490,
1996-10,-146.421,
1997-01,2486.403,
1997-04,1431.826,
1997-07,-622.573,
1997-10,981.624,
1998-01,2462.354,
1998-04,123.924,
1998-07,-1281.623,
1998-10,-3586.007,
1999-01,-662.010,
1999-04,1266.027,
1999-07,970.528,
1999-10,395.481,
2000-01,4458.829,
2000-04,1360.828,
2000-07,1906.990,
2000-10,777.872,
2001-01,1101.920,
2001-04,798.180,
2001-07,-1015.036,
2001-10,-2337.262,
2002-01,240.398,
2002-04,2415.794,
2002-07,-1912.592,
2002-10,-202.772,
2003-01,213.507,
2003-04,-834.473,
2003-07,-991.539,
2003-10,-721.828,
2004-01,1692.883,
2004-04,1830.303,
2004-07,-986.111,
2004-10,-998.456,
2005-01,1704.755,
2005-04,3585.362,
2005-07,124.275,
2005-10,1638.515,
2006-01,2998.162,
2006-04,942.669,
2006-07,26.060,
2006-10,1098.063,
2007-01,2417.608,
2007-04,1373.759,
2007-07,754.547,
2007-10,161.075,
2008-01,2854.121,
2008-04,4469.237,
2008-07,403.844,
2008-10,-4615.972,
2009-01,-4010.293,
2009-04,404.666,
2009-07,-1881.639,
2009-10,-258.722,
2010-01,-1327.190,
2010-04,4558.577,
2010-07,743.809,
2010-10,-1353.337,
2011-01,5102.695,
2011-04,104.263,
2011-07,203.925,
2011-10,309.337,
2012-01,3890.375,
2012-04,-67.612,
2012-07,-2401.650,
2012-10,-4520.148,
2013-01,4643.000,
2013-04,858.000,
2013-07,-992.000,
2013-10,-458.000,
2014-01,869.000,
2014-04,805.000,
2014-07,956.000,
