"",BBK01.OEAH72P,BBK01.OEAH72P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:48,
2002-01,0.079,
2002-04,0.112,
2002-07,0.137,
2002-10,0.118,
2003-01,0.090,
2003-04,0.130,
2003-07,0.116,
2003-10,0.136,
2004-01,0.152,
2004-04,0.110,
2004-07,0.128,
2004-10,0.133,
2005-01,0.126,
2005-04,0.182,
2005-07,0.187,
2005-10,0.230,
2006-01,0.123,
2006-04,0.130,
2006-07,0.181,
2006-10,0.144,
2007-01,0.152,
2007-04,0.163,
2007-07,0.154,
2007-10,0.233,
2008-01,0.170,
2008-04,0.169,
2008-07,0.180,
2008-10,0.348,
2009-01,0.272,
2009-04,0.251,
2009-07,0.266,
2009-10,0.440,
2010-01,0.311,
2010-04,0.346,
2010-07,0.317,
2010-10,0.530,
2011-01,0.406,
2011-04,0.316,
2011-07,0.478,
2011-10,0.520,
2012-01,0.391,
2012-04,0.524,
2012-07,0.594,
2012-10,0.626,
2013-01,0.569,
2013-04,0.624,
2013-07,0.574,
2013-10,0.561,
2014-01,0.449,
2014-04,0.575,
2014-07,0.456,
