"",BBK01.OEAK05L,BBK01.OEAK05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:31,
2002-01,0.159,
2002-04,0.160,
2002-07,0.168,
2002-10,0.131,
2003-01,0.127,
2003-04,0.120,
2003-07,0.124,
2003-10,0.124,
2004-01,0.101,
2004-04,0.106,
2004-07,0.101,
2004-10,0.096,
2005-01,0.094,
2005-04,0.106,
2005-07,0.094,
2005-10,0.092,
2006-01,0.084,
2006-04,0.082,
2006-07,0.109,
2006-10,0.077,
2007-01,0.072,
2007-04,0.069,
2007-07,0.068,
2007-10,0.064,
2008-01,0.064,
2008-04,0.055,
2008-07,0.064,
2008-10,0.080,
2009-01,0.121,
2009-04,0.134,
2009-07,0.146,
2009-10,0.171,
2010-01,0.172,
2010-04,0.164,
2010-07,0.147,
2010-10,0.167,
2011-01,0.173,
2011-04,0.171,
2011-07,0.177,
2011-10,0.216,
2012-01,0.260,
2012-04,0.315,
2012-07,0.361,
2012-10,0.403,
2013-01,0.424,
2013-04,0.390,
2013-07,0.380,
2013-10,0.378,
2014-01,0.412,
2014-04,0.514,
2014-07,0.543,
