"",BBK01.OEAC18O,BBK01.OEAC18O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:34,
2002-01,0.085,
2002-04,0.090,
2002-07,0.085,
2002-10,0.091,
2003-01,0.097,
2003-04,0.088,
2003-07,0.071,
2003-10,0.067,
2004-01,0.091,
2004-04,0.065,
2004-07,0.055,
2004-10,0.055,
2005-01,0.069,
2005-04,0.066,
2005-07,0.056,
2005-10,0.068,
2006-01,0.080,
2006-04,0.065,
2006-07,0.054,
2006-10,0.054,
2007-01,0.084,
2007-04,0.084,
2007-07,0.071,
2007-10,0.078,
2008-01,0.115,
2008-04,0.141,
2008-07,0.118,
2008-10,0.172,
2009-01,0.167,
2009-04,0.156,
2009-07,0.124,
2009-10,0.132,
2010-01,0.164,
2010-04,0.165,
2010-07,0.143,
2010-10,0.139,
2011-01,0.146,
2011-04,0.135,
2011-07,0.135,
2011-10,0.124,
2012-01,0.148,
2012-04,0.168,
2012-07,0.118,
2012-10,0.117,
2013-01,0.209,
2013-04,0.215,
2013-07,0.131,
2013-10,0.132,
2014-01,0.128,
2014-04,0.137,
2014-07,0.095,
