"",BBK01.OEAB08J,BBK01.OEAB08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:50,
2002-01,15.574,
2002-04,15.759,
2002-07,16.457,
2002-10,16.829,
2003-01,16.691,
2003-04,16.534,
2003-07,16.512,
2003-10,16.665,
2004-01,16.857,
2004-04,17.001,
2004-07,16.952,
2004-10,17.012,
2005-01,18.714,
2005-04,18.857,
2005-07,18.882,
2005-10,19.087,
2006-01,19.196,
2006-04,19.143,
2006-07,19.128,
2006-10,18.125,
2007-01,17.886,
2007-04,17.880,
2007-07,17.921,
2007-10,17.846,
2008-01,17.863,
2008-04,18.034,
2008-07,17.560,
2008-10,17.644,
2009-01,17.466,
2009-04,17.635,
2009-07,16.800,
2009-10,16.885,
2010-01,16.805,
2010-04,19.475,
2010-07,19.293,
2010-10,19.528,
2011-01,19.407,
2011-04,19.343,
2011-07,19.457,
2011-10,19.598,
2012-01,19.043,
2012-04,20.276,
2012-07,20.065,
2012-10,19.429,
2013-01,19.502,
2013-04,19.493,
2013-07,19.588,
2013-10,19.478,
2014-01,19.418,
2014-04,19.438,
2014-07,19.300,
