"",BBK01.CEFQ0L,BBK01.CEFQ0L_FLAGS
"",short-term time deposits  debtor: Total           creditor:Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:45,
1999-01,1.4,
1999-04,1.1,
1999-07,0.9,
1999-10,1.1,
2000-01,1.2,
2000-04,0.9,
2000-07,0.9,
2000-10,1.1,
2001-01,1.3,
2001-04,1.1,
2001-07,1.2,
2001-10,1.6,
2002-01,1.0,
2002-04,1.1,
2002-07,1.3,
2002-10,2.0,
2003-01,1.6,
2003-04,1.7,
2003-07,1.2,
2003-10,2.1,
2004-01,2.2,
2004-04,1.8,
2004-07,2.3,
2004-10,3.2,
2005-01,2.6,
2005-04,2.7,
2005-07,2.6,
2005-10,2.7,
2006-01,2.3,
2006-04,2.0,
2006-07,2.3,
2006-10,2.9,
2007-01,2.6,
2007-04,2.6,
2007-07,2.8,
2007-10,4.3,
2008-01,4.3,
2008-04,4.4,
2008-07,4.2,
2008-10,5.0,
2009-01,5.4,
2009-04,4.1,
2009-07,4.4,
2009-10,4.9,
2010-01,4.6,
2010-04,4.0,
2010-07,3.5,
2010-10,3.8,
2011-01,4.0,
2011-04,4.0,
2011-07,4.7,
2011-10,4.7,
2012-01,4.5,
2012-04,4.1,
2012-07,4.2,
2012-10,4.8,
2013-01,3.9,
2013-04,3.8,
2013-07,3.1,
2013-10,3.8,
2014-01,3.7,
2014-04,3.8,
2014-07,3.5,
