"",BBK01.OEAC52K,BBK01.OEAC52K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:12,
2002-01,6.556,
2002-04,6.389,
2002-07,6.533,
2002-10,6.696,
2003-01,6.777,
2003-04,7.180,
2003-07,7.636,
2003-10,7.737,
2004-01,8.391,
2004-04,9.784,
2004-07,9.434,
2004-10,9.480,
2005-01,9.458,
2005-04,10.336,
2005-07,10.772,
2005-10,11.383,
2006-01,12.254,
2006-04,12.717,
2006-07,12.875,
2006-10,12.869,
2007-01,13.301,
2007-04,13.432,
2007-07,13.347,
2007-10,13.078,
2008-01,12.942,
2008-04,13.341,
2008-07,14.926,
2008-10,15.691,
2009-01,16.040,
2009-04,15.376,
2009-07,15.396,
2009-10,12.893,
2010-01,13.590,
2010-04,15.696,
2010-07,15.013,
2010-10,15.806,
2011-01,14.526,
2011-04,14.524,
2011-07,18.078,
2011-10,18.761,
2012-01,18.031,
2012-04,18.776,
2012-07,18.170,
2012-10,14.574,
2013-01,14.304,
2013-04,14.056,
2013-07,13.483,
2013-10,8.869,
2014-01,8.468,
2014-04,8.131,
2014-07,8.641,
