"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:23,
1991-01,-36.660,
1991-04,-2.274,
1991-07,-212.084,
1991-10,-286.556,
1992-01,-404.971,
1992-04,-122.838,
1992-07,-289.355,
1992-10,-122.575,
1993-01,2.265,
1993-04,2.123,
1993-07,44.360,
1993-10,155.976,
1994-01,-7.047,
1994-04,201.780,
1994-07,45.846,
1994-10,13.612,
1995-01,715.686,
1995-04,-123.896,
1995-07,99.149,
1995-10,81.898,
1996-01,170.037,
1996-04,244.512,
1996-07,140.466,
1996-10,-3.006,
1997-01,6.157,
1997-04,-25.121,
1997-07,355.695,
1997-10,-139.634,
1998-01,193.326,
1998-04,116.611,
1998-07,113.369,
1998-10,388.449,
1999-01,254.223,
1999-04,280.116,
1999-07,-26.771,
1999-10,80.894,
2000-01,-92.586,
2000-04,225.271,
2000-07,15.658,
2000-10,259.163,
2001-01,245.819,
2001-04,188.870,
2001-07,156.238,
2001-10,1670.823,
2002-01,2399.519,
2002-04,297.542,
2002-07,-962.681,
2002-10,286.191,
2003-01,571.573,
2003-04,518.396,
2003-07,460.407,
2003-10,-492.051,
2004-01,-491.034,
2004-04,824.272,
2004-07,473.846,
2004-10,-84.273,
2005-01,1535.268,
2005-04,3629.238,
2005-07,331.196,
2005-10,354.780,
2006-01,1235.178,
2006-04,668.254,
2006-07,188.903,
2006-10,367.427,
2007-01,1330.061,
2007-04,-185.667,
2007-07,824.310,
2007-10,479.688,
2008-01,1048.240,
2008-04,2456.289,
2008-07,816.593,
2008-10,1149.185,
2009-01,-99.211,
2009-04,221.717,
2009-07,398.518,
2009-10,-591.149,
2010-01,394.690,
2010-04,-473.849,
2010-07,1393.262,
2010-10,826.317,
2011-01,494.755,
2011-04,-380.060,
2011-07,-880.262,
2011-10,50.599,
2012-01,-980.288,
2012-04,-35.301,
2012-07,32.756,
2012-10,-55.124,
2013-01,387.747,
2013-04,-522.998,
2013-07,-442.920,
2013-10,-343.641,
2014-01,98.673,Provisional value
2014-04,-310.196,Provisional value
2014-07,526.030,Provisional value
2014-10,696.191,Provisional value
