"",BBK01.OEAD08Q,BBK01.OEAD08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:15,
2002-01,0.944,
2002-04,0.931,
2002-07,0.917,
2002-10,0.888,
2003-01,0.852,
2003-04,0.894,
2003-07,0.900,
2003-10,0.869,
2004-01,0.874,
2004-04,0.814,
2004-07,0.798,
2004-10,0.749,
2005-01,0.739,
2005-04,0.748,
2005-07,0.735,
2005-10,0.729,
2006-01,0.702,
2006-04,0.719,
2006-07,0.714,
2006-10,0.705,
2007-01,0.847,
2007-04,0.803,
2007-07,0.799,
2007-10,0.804,
2008-01,0.606,
2008-04,0.610,
2008-07,0.577,
2008-10,0.557,
2009-01,0.539,
2009-04,0.542,
2009-07,0.535,
2009-10,0.526,
2010-01,0.568,
2010-04,0.559,
2010-07,0.486,
2010-10,0.480,
2011-01,0.469,
2011-04,0.485,
2011-07,0.403,
2011-10,0.402,
2012-01,0.405,
2012-04,0.395,
2012-07,0.383,
2012-10,0.436,
2013-01,0.501,
2013-04,0.421,
2013-07,0.420,
2013-10,0.580,
2014-01,0.573,
2014-04,0.506,
2014-07,0.477,
