"",BBK01.CEHBC0,BBK01.CEHBC0_FLAGS
"",Long-term debt securities debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:34,
1991-01,17.8,
1991-04,4.8,
1991-07,10.0,
1991-10,12.1,
1992-01,13.5,
1992-04,5.7,
1992-07,17.4,
1992-10,36.9,
1993-01,19.2,
1993-04,15.7,
1993-07,14.2,
1993-10,20.0,
1994-01,26.0,
1994-04,0.6,
1994-07,10.9,
1994-10,9.6,
1995-01,89.6,
1995-04,2.7,
1995-07,6.4,
1995-10,3.5,
1996-01,2.9,
1996-04,10.6,
1996-07,6.9,
1996-10,5.0,
1997-01,13.7,
1997-04,17.3,
1997-07,-0.1,
1997-10,7.1,
1998-01,8.4,
1998-04,6.2,
1998-07,5.2,
1998-10,9.0,
1999-01,15.2,
1999-04,3.4,
1999-07,15.2,
1999-10,11.0,
2000-01,9.0,
2000-04,3.8,
2000-07,3.7,
2000-10,13.5,
2001-01,-19.4,
2001-04,5.5,
2001-07,11.5,
2001-10,12.7,
2002-01,20.3,
2002-04,18.4,
2002-07,14.8,
2002-10,5.0,
2003-01,33.1,
2003-04,11.4,
2003-07,5.4,
2003-10,17.3,
2004-01,32.5,
2004-04,14.8,
2004-07,15.6,
2004-10,6.6,
2005-01,15.3,
2005-04,21.7,
2005-07,14.1,
2005-10,17.6,
2006-01,12.1,
2006-04,19.3,
2006-07,10.5,
2006-10,10.4,
2007-01,-1.7,
2007-04,18.8,
2007-07,-12.6,
2007-10,24.6,
2008-01,-3.6,
2008-04,29.0,
2008-07,6.3,
2008-10,3.3,
2009-01,11.3,
2009-04,37.7,
2009-07,-12.6,
2009-10,19.6,
2010-01,36.6,
2010-04,25.3,
2010-07,21.1,
2010-10,31.9,
2011-01,10.4,
2011-04,29.2,
2011-07,4.1,
2011-10,-6.8,
2012-01,34.7,
2012-04,23.0,
2012-07,26.8,
2012-10,15.2,
2013-01,8.5,
2013-04,-4.4,
2013-07,6.4,
2013-10,17.0,
2014-01,10.5,
