"",BBK01.OEAB19H,BBK01.OEAB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:38,
2002-01,10.605,
2002-04,10.372,
2002-07,10.379,
2002-10,10.118,
2003-01,10.021,
2003-04,9.893,
2003-07,9.996,
2003-10,10.003,
2004-01,9.909,
2004-04,10.476,
2004-07,9.901,
2004-10,9.867,
2005-01,9.917,
2005-04,10.084,
2005-07,10.215,
2005-10,10.347,
2006-01,10.176,
2006-04,10.138,
2006-07,10.206,
2006-10,10.110,
2007-01,9.886,
2007-04,9.805,
2007-07,9.626,
2007-10,9.365,
2008-01,9.103,
2008-04,8.959,
2008-07,8.815,
2008-10,8.581,
2009-01,8.623,
2009-04,8.747,
2009-07,9.167,
2009-10,8.967,
2010-01,8.916,
2010-04,9.494,
2010-07,9.605,
2010-10,9.736,
2011-01,9.845,
2011-04,10.108,
2011-07,12.376,
2011-10,12.421,
2012-01,12.400,
2012-04,12.335,
2012-07,12.488,
2012-10,12.602,
2013-01,13.461,
2013-04,13.616,
2013-07,13.882,
2013-10,13.948,
2014-01,13.865,
2014-04,13.791,
2014-07,13.924,
