"",BBK01.CEFP0L,BBK01.CEFP0L_FLAGS
"",Time deposits  debtor: Total           creditor: Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:44,
1999-01,52.1,
1999-04,52.7,
1999-07,54.3,
1999-10,55.7,
2000-01,57.3,
2000-04,58.1,
2000-07,58.4,
2000-10,59.5,
2001-01,60.4,
2001-04,61.1,
2001-07,61.5,
2001-10,61.7,
2002-01,62.3,
2002-04,62.3,
2002-07,62.6,
2002-10,66.9,
2003-01,67.6,
2003-04,67.6,
2003-07,69.0,
2003-10,76.6,
2004-01,77.8,
2004-04,80.0,
2004-07,81.2,
2004-10,88.2,
2005-01,89.8,
2005-04,90.5,
2005-07,91.1,
2005-10,96.2,
2006-01,96.0,
2006-04,96.9,
2006-07,99.1,
2006-10,103.8,
2007-01,103.4,
2007-04,104.3,
2007-07,107.5,
2007-10,114.9,
2008-01,116.2,
2008-04,119.2,
2008-07,121.7,
2008-10,125.7,
2009-01,126.0,
2009-04,127.9,
2009-07,130.1,
2009-10,132.6,
2010-01,129.3,
2010-04,128.9,
2010-07,128.0,
2010-10,132.0,
2011-01,129.3,
2011-04,128.9,
2011-07,129.2,
2011-10,129.5,
2012-01,123.2,
2012-04,121.5,
2012-07,119.6,
2012-10,124.0,
2013-01,119.4,
2013-04,118.8,
2013-07,115.8,
2013-10,115.6,
2014-01,113.3,
2014-04,112.8,
2014-07,111.1,
