"",BBK01.OEAD02G,BBK01.OEAD02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:26,
2002-01,2.309,
2002-04,1.664,
2002-07,1.637,
2002-10,1.694,
2003-01,1.700,
2003-04,1.661,
2003-07,1.684,
2003-10,1.934,
2004-01,2.001,
2004-04,1.661,
2004-07,1.664,
2004-10,1.524,
2005-01,1.546,
2005-04,1.648,
2005-07,1.453,
2005-10,1.357,
2006-01,1.086,
2006-04,0.970,
2006-07,0.976,
2006-10,0.941,
2007-01,1.014,
2007-04,1.003,
2007-07,0.999,
2007-10,1.383,
2008-01,1.098,
2008-04,1.176,
2008-07,1.437,
2008-10,1.952,
2009-01,2.050,
2009-04,1.764,
2009-07,1.931,
2009-10,1.866,
2010-01,1.941,
2010-04,1.912,
2010-07,1.451,
2010-10,1.411,
2011-01,1.410,
2011-04,1.572,
2011-07,1.604,
2011-10,1.575,
2012-01,1.746,
2012-04,1.683,
2012-07,1.772,
2012-10,1.533,
2013-01,1.554,
2013-04,1.501,
2013-07,1.503,
2013-10,1.443,
2014-01,1.486,
2014-04,1.374,
2014-07,1.304,
