"",BBK01.OEAJ03P,BBK01.OEAJ03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:14,
2002-01,2.474,
2002-04,2.559,
2002-07,2.605,
2002-10,2.746,
2003-01,2.887,
2003-04,2.904,
2003-07,2.916,
2003-10,3.150,
2004-01,3.125,
2004-04,3.161,
2004-07,3.104,
2004-10,3.444,
2005-01,3.605,
2005-04,3.474,
2005-07,3.558,
2005-10,3.720,
2006-01,3.713,
2006-04,3.640,
2006-07,3.855,
2006-10,4.025,
2007-01,4.043,
2007-04,4.427,
2007-07,4.630,
2007-10,4.703,
2008-01,4.792,
2008-04,4.855,
2008-07,4.921,
2008-10,4.593,
2009-01,4.666,
2009-04,4.640,
2009-07,4.719,
2009-10,4.343,
2010-01,4.475,
2010-04,4.141,
2010-07,4.322,
2010-10,4.525,
2011-01,4.762,
2011-04,5.015,
2011-07,5.153,
2011-10,5.297,
2012-01,4.844,
2012-04,4.811,
2012-07,5.117,
2012-10,4.612,
2013-01,4.723,
2013-04,4.269,
2013-07,4.113,
2013-10,3.401,
2014-01,3.805,
2014-04,3.901,
2014-07,3.566,
