"",BBK01.OEHB02H,BBK01.OEHB02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:10,
2002-01,12.579,
2002-04,12.675,
2002-07,12.356,
2002-10,12.248,
2003-01,12.162,
2003-04,11.966,
2003-07,11.739,
2003-10,11.167,
2004-01,11.055,
2004-04,11.104,
2004-07,10.584,
2004-10,10.099,
2005-01,10.159,
2005-04,9.891,
2005-07,9.470,
2005-10,8.935,
2006-01,9.092,
2006-04,9.185,
2006-07,8.999,
2006-10,8.606,
2007-01,8.592,
2007-04,8.608,
2007-07,8.472,
2007-10,8.429,
2008-01,8.649,
2008-04,8.550,
2008-07,8.377,
2008-10,8.544,
2009-01,8.966,
2009-04,8.970,
2009-07,8.843,
2009-10,8.482,
2010-01,8.577,
2010-04,8.684,
2010-07,8.416,
2010-10,7.636,
2011-01,8.025,
2011-04,8.163,
2011-07,7.918,
2011-10,7.634,
2012-01,7.865,
2012-04,7.842,
2012-07,7.747,
2012-10,7.645,
2013-01,7.951,
2013-04,7.853,
2013-07,7.578,
2013-10,7.260,
2014-01,7.565,
2014-04,7.489,
2014-07,7.364,
