"",BBFB1.Q.N.DE.W00200.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:12,
1991-01,68601.963,
1991-04,67393.541,
1991-07,66302.832,
1991-10,70551.734,
1992-01,70857.307,
1992-04,67586.169,
1992-07,67380.362,
1992-10,69167.360,
1993-01,62715.087,
1993-04,62334.622,
1993-07,59170.935,
1993-10,65792.493,
1994-01,65077.601,
1994-04,70291.704,
1994-07,66440.674,
1994-10,72750.692,
1995-01,74252.958,
1995-04,76372.274,
1995-07,72388.499,
1995-10,78092.241,
1996-01,78307.340,
1996-04,78151.341,
1996-07,76062.528,
1996-10,83209.083,
1997-01,81955.116,
1997-04,88651.844,
1997-07,87554.589,
1997-10,94728.925,
1998-01,94596.206,
1998-04,98744.732,
1998-07,93008.243,
1998-10,99534.406,
1999-01,95974.134,
1999-04,102435.488,
1999-07,100512.984,
1999-10,110697.037,
2000-01,114317.205,
2000-04,117261.954,
2000-07,114743.132,
2000-10,129868.838,
2001-01,127439.615,
2001-04,125279.834,
2001-07,120709.474,
2001-10,125072.970,
2002-01,120874.294,
2002-04,127393.855,
2002-07,125768.638,
2002-10,130799.054,
2003-01,126369.854,
2003-04,124402.432,
2003-07,125546.440,
2003-10,133334.245,
2004-01,135675.304,
2004-04,141975.691,
2004-07,137042.824,
2004-10,144207.728,
2005-01,142255.267,
2005-04,151278.200,
2005-07,147815.278,
2005-10,157814.241,
2006-01,164181.641,
2006-04,164325.658,
2006-07,163174.710,
2006-10,177400.118,
2007-01,182921.899,
2007-04,182369.781,
2007-07,180387.958,
2007-10,187407.806,
2008-01,189166.071,
2008-04,191818.093,
2008-07,182602.235,
2008-10,167368.257,
2009-01,147039.819,
2009-04,140929.641,
2009-07,145291.912,
2009-10,153711.674,
2010-01,158685.978,
2010-04,171144.344,
2010-07,170872.630,
2010-10,181626.776,
2011-01,190682.714,
2011-04,191698.351,
2011-07,190141.205,
2011-10,189635.113,
2012-01,202509.890,
2012-04,194325.073,
2012-07,193880.903,
2012-10,190720.805,
2013-01,199223.921,
2013-04,199390.701,
2013-07,196447.460,
2013-10,199548.117,
2014-01,207088.895,Provisional value
2014-04,204240.809,Provisional value
2014-07,208384.776,Provisional value
