"",BBK01.OEAH06K,BBK01.OEAH06K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:31,
2002-01,0.706,
2002-04,0.512,
2002-07,0.425,
2002-10,0.410,
2003-01,0.142,
2003-04,0.133,
2003-07,0.162,
2003-10,0.160,
2004-01,0.184,
2004-04,0.180,
2004-07,0.146,
2004-10,0.167,
2005-01,0.213,
2005-04,0.435,
2005-07,0.480,
2005-10,0.443,
2006-01,0.423,
2006-04,0.427,
2006-07,0.386,
2006-10,0.200,
2007-01,0.204,
2007-04,0.201,
2007-07,0.265,
2007-10,0.405,
2008-01,0.576,
2008-04,0.678,
2008-07,0.757,
2008-10,0.811,
2009-01,0.990,
2009-04,1.018,
2009-07,1.022,
2009-10,0.967,
2010-01,0.709,
2010-04,0.574,
2010-07,0.423,
2010-10,0.363,
2011-01,0.368,
2011-04,0.449,
2011-07,0.550,
2011-10,0.874,
2012-01,1.040,
2012-04,1.212,
2012-07,1.263,
2012-10,1.184,
2013-01,1.139,
2013-04,1.427,
2013-07,1.633,
2013-10,1.577,
2014-01,1.553,
2014-04,1.465,
2014-07,1.298,
