"",BBK01.OELL09N,BBK01.OELL09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:35,
2002-01,6.277,
2002-04,6.105,
2002-07,6.072,
2002-10,6.143,
2003-01,6.234,
2003-04,6.071,
2003-07,5.868,
2003-10,5.889,
2004-01,5.961,
2004-04,6.083,
2004-07,6.283,
2004-10,6.407,
2005-01,6.279,
2005-04,6.195,
2005-07,5.988,
2005-10,5.878,
2006-01,6.179,
2006-04,6.587,
2006-07,7.191,
2006-10,7.417,
2007-01,7.477,
2007-04,7.209,
2007-07,7.322,
2007-10,7.220,
2008-01,6.753,
2008-04,6.330,
2008-07,5.642,
2008-10,5.555,
2009-01,5.863,
2009-04,6.478,
2009-07,7.021,
2009-10,7.548,
2010-01,7.513,
2010-04,7.214,
2010-07,6.809,
2010-10,6.319,
2011-01,6.055,
2011-04,5.804,
2011-07,5.819,
2011-10,4.923,
2012-01,5.443,
2012-04,5.188,
2012-07,5.088,
2012-10,4.952,
2013-01,4.893,
2013-04,4.734,
2013-07,4.679,
2013-10,4.477,
2014-01,4.521,
2014-04,4.414,
2014-07,4.328,
