"",BBK01.OEAD08O,BBK01.OEAD08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:42,
2002-01,1.440,
2002-04,1.470,
2002-07,1.442,
2002-10,1.406,
2003-01,1.384,
2003-04,1.344,
2003-07,1.288,
2003-10,1.250,
2004-01,1.245,
2004-04,1.240,
2004-07,1.198,
2004-10,1.148,
2005-01,1.191,
2005-04,1.189,
2005-07,1.132,
2005-10,1.103,
2006-01,1.105,
2006-04,1.125,
2006-07,1.164,
2006-10,1.111,
2007-01,1.116,
2007-04,1.109,
2007-07,1.143,
2007-10,1.248,
2008-01,1.173,
2008-04,1.199,
2008-07,1.053,
2008-10,1.072,
2009-01,0.992,
2009-04,0.994,
2009-07,0.965,
2009-10,0.943,
2010-01,0.915,
2010-04,1.041,
2010-07,1.093,
2010-10,1.019,
2011-01,0.991,
2011-04,0.983,
2011-07,0.998,
2011-10,0.960,
2012-01,0.976,
2012-04,0.963,
2012-07,0.955,
2012-10,0.925,
2013-01,0.921,
2013-04,0.944,
2013-07,0.931,
2013-10,0.906,
2014-01,0.894,
2014-04,0.891,
2014-07,0.869,
