"",BBK01.OELB04R,BBK01.OELB04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:06,
2002-01,1.359,
2002-04,1.365,
2002-07,1.383,
2002-10,1.426,
2003-01,1.408,
2003-04,1.418,
2003-07,1.422,
2003-10,1.434,
2004-01,1.418,
2004-04,1.427,
2004-07,1.468,
2004-10,1.427,
2005-01,1.408,
2005-04,1.408,
2005-07,1.415,
2005-10,1.423,
2006-01,1.414,
2006-04,1.506,
2006-07,1.516,
2006-10,1.517,
2007-01,1.506,
2007-04,1.515,
2007-07,1.524,
2007-10,1.529,
2008-01,1.524,
2008-04,1.530,
2008-07,1.558,
2008-10,1.575,
2009-01,1.585,
2009-04,1.594,
2009-07,1.572,
2009-10,1.601,
2010-01,1.606,
2010-04,1.614,
2010-07,1.636,
2010-10,1.645,
2011-01,1.654,
2011-04,1.683,
2011-07,1.708,
2011-10,1.729,
2012-01,1.746,
2012-04,2.225,
2012-07,2.267,
2012-10,2.292,
2013-01,2.300,
2013-04,2.368,
2013-07,2.410,
2013-10,2.425,
2014-01,2.438,
2014-04,2.475,
2014-07,2.518,
