"",BBK01.OEBK01Q,BBK01.OEBK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:53,
2002-01,1.031,
2002-04,1.034,
2002-07,1.023,
2002-10,1.027,
2003-01,0.939,
2003-04,0.941,
2003-07,1.045,
2003-10,1.036,
2004-01,0.998,
2004-04,0.994,
2004-07,1.004,
2004-10,1.020,
2005-01,1.020,
2005-04,1.030,
2005-07,1.059,
2005-10,1.122,
2006-01,1.154,
2006-04,1.264,
2006-07,1.287,
2006-10,1.454,
2007-01,1.557,
2007-04,1.687,
2007-07,1.827,
2007-10,1.876,
2008-01,1.935,
2008-04,2.051,
2008-07,2.167,
2008-10,2.129,
2009-01,1.958,
2009-04,1.856,
2009-07,1.897,
2009-10,1.904,
2010-01,1.891,
2010-04,1.961,
2010-07,1.971,
2010-10,2.115,
2011-01,2.054,
2011-04,2.151,
2011-07,2.196,
2011-10,2.204,
2012-01,2.203,
2012-04,2.210,
2012-07,2.327,
2012-10,2.367,
2013-01,2.356,
2013-04,2.434,
2013-07,2.573,
2013-10,2.738,
2014-01,2.722,
2014-04,2.723,
2014-07,2.788,
