"",BBSF2.M.1.T.00000.DSO01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.DSO01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Funds total / Funds-of-funds: Other funds / Long-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:03,
2009-09,232,
2009-10,230,
2009-11,232,
2009-12,346,
2010-01,370,
2010-02,381,
2010-03,386,
2010-04,369,
2010-05,360,
2010-06,363,
2010-07,391,
2010-08,403,
2010-09,402,
2010-10,411,
2010-11,413,
2010-12,376,
2011-01,366,
2011-02,371,
2011-03,358,
2011-04,351,
2011-05,363,
2011-06,356,
2011-07,560,
2011-08,559,
2011-09,610,
2011-10,607,
2011-11,590,
2011-12,554,
2012-01,580,
2012-02,623,
2012-03,622,
2012-04,732,
2012-05,682,
2012-06,629,
2012-07,639,
2012-08,633,
2012-09,690,
2012-10,681,
2012-11,634,
2012-12,637,
2013-01,542,
2013-02,565,
2013-03,547,
2013-04,548,
2013-05,616,
2013-06,561,
2013-07,579,
2013-08,575,
2013-09,624,
2013-10,644,
2013-11,658,
2013-12,654,
2014-01,682,
2014-02,614,
2014-03,619,
2014-04,613,
2014-05,614,
2014-06,614,
2014-07,604,
2014-08,604,
2014-09,590,
2014-10,513,
2014-11,529,
