"",BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.O.F89.T._T._X.N,BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.O.F89.T._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Other accounts payable / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:44,
1991-01,0.524,
1991-04,1.115,
1991-07,0.988,
1991-10,0.164,
1992-01,0.583,
1992-04,1.183,
1992-07,0.306,
1992-10,0.500,
1993-01,0.040,
1993-04,-0.235,
1993-07,0.026,
1993-10,-0.127,
1994-01,-0.002,
1994-04,0.008,
1994-07,-0.022,
1994-10,-0.006,
1995-01,-,Nothing exists
1995-04,0.076,
1995-07,-0.048,
1995-10,0.054,
1996-01,-0.786,
1996-04,0.000,
1996-07,-0.485,
1996-10,-0.066,
1997-01,-0.354,
1997-04,0.052,
1997-07,0.282,
1997-10,0.591,
1998-01,22.567,
1998-04,-0.003,
1998-07,0.780,
1998-10,-96.223,
1999-01,0.051,
1999-04,0.849,
1999-07,-0.197,
1999-10,0.131,
2000-01,-1.204,
2000-04,-2.055,
2000-07,2.459,
2000-10,1.279,
2001-01,6.893,
2001-04,0.130,
2001-07,-10.389,
2001-10,0.136,
2002-01,0.078,
2002-04,0.347,
2002-07,-0.650,
2002-10,0.584,
2003-01,0.021,
2003-04,-0.039,
2003-07,-0.025,
2003-10,0.126,
2004-01,0.027,
2004-04,46.506,
2004-07,-1.440,
2004-10,-2.309,
2005-01,0.310,
2005-04,-0.238,
2005-07,-0.052,
2005-10,0.016,
2006-01,0.187,
2006-04,-0.322,
2006-07,1.713,
2006-10,-0.059,
2007-01,-1.559,
2007-04,43.571,
2007-07,372.308,
2007-10,228.069,
2008-01,216.516,
2008-04,311.201,
2008-07,243.542,
2008-10,238.105,
2009-01,197.373,
2009-04,127.469,
2009-07,112.000,
2009-10,108.905,
2010-01,121.865,
2010-04,0.688,
2010-07,-0.230,
2010-10,-101.676,
2011-01,3.387,
2011-04,-105.811,
2011-07,396.871,
2011-10,-128.769,
2012-01,247.327,
2012-04,62.757,
2012-07,32.365,
2012-10,-46.428,
2013-01,9.670,
2013-04,-83.555,
2013-07,-41.283,
2013-10,-158.768,
2014-01,172.843,
2014-04,-349.744,
2014-07,-572.509,
