"",BBSF2.M.1.T.00000.DGE01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.DGE01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Funds-of-funds: Mixed funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:46,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,1,
2010-03,1,
2010-04,1,
2010-05,5,
2010-06,5,
2010-07,4,
2010-08,4,
2010-09,2,
2010-10,2,
2010-11,-,Nothing exists
2010-12,-,Nothing exists
2011-01,-,Nothing exists
2011-02,1,
2011-03,0,
2011-04,-,Nothing exists
2011-05,-,Nothing exists
2011-06,-,Nothing exists
2011-07,-,Nothing exists
2011-08,3,
2011-09,3,
2011-10,3,
2011-11,4,
2011-12,4,
2012-01,1,
2012-02,2,
2012-03,3,
2012-04,5,
2012-05,4,
2012-06,5,
2012-07,4,
2012-08,4,
2012-09,2,
2012-10,6,
2012-11,6,
2012-12,6,
2013-01,5,
2013-02,5,
2013-03,5,
2013-04,5,
2013-05,3,
2013-06,3,
2013-07,2,
2013-08,-,Nothing exists
2013-09,-,Nothing exists
2013-10,-,Nothing exists
2013-11,-,Nothing exists
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,-,Nothing exists
2014-03,3,
2014-04,3,
2014-05,3,
2014-06,3,
2014-07,3,
2014-08,2,
2014-09,2,
2014-10,2,
2014-11,3,
