"",BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.GP09IS10.W1.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Computer, electronic and optical products plus electrical equipment (new: items 26+27) / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:28,
2008-01,12.52,
2008-02,12.37,
2008-03,12.00,
2008-04,12.15,
2008-05,11.90,
2008-06,11.69,
2008-07,11.56,
2008-08,12.13,
2008-09,11.67,
2008-10,11.91,
2008-11,11.02,
2008-12,10.81,
2009-01,10.08,
2009-02,9.84,
2009-03,9.29,
2009-04,9.39,
2009-05,9.06,
2009-06,9.19,
2009-07,9.69,
2009-08,9.45,
2009-09,9.89,
2009-10,10.05,
2009-11,10.14,
2009-12,10.81,
2010-01,10.57,
2010-02,10.66,
2010-03,11.14,
2010-04,10.98,
2010-05,11.63,
2010-06,11.92,
2010-07,12.18,
2010-08,12.21,
2010-09,12.30,
2010-10,12.84,
2010-11,12.86,
2010-12,12.58,
2011-01,12.59,
2011-02,12.58,
2011-03,12.88,
2011-04,12.78,
2011-05,12.54,
2011-06,12.76,
2011-07,12.81,
2011-08,12.74,
2011-09,12.60,
2011-10,12.46,
2011-11,12.62,
2011-12,12.33,
2012-01,12.36,
2012-02,12.83,
2012-03,12.75,
2012-04,12.77,
2012-05,13.36,
2012-06,13.01,
2012-07,13.13,
2012-08,12.99,
2012-09,12.68,
2012-10,12.48,
2012-11,12.37,
2012-12,12.85,
2013-01,12.60,
2013-02,12.50,
2013-03,12.90,
2013-04,12.75,
2013-05,13.22,
2013-06,12.91,
2013-07,12.57,
2013-08,12.66,
2013-09,12.79,
2013-10,12.69,
2013-11,12.55,
2013-12,12.69,
2014-01,13.35,
2014-02,13.23,
2014-03,13.06,
2014-04,13.35,
2014-05,13.08,
2014-06,13.46,
2014-07,13.50,
2014-08,13.59,
2014-09,13.76,
2014-10,13.67,
2014-11,13.45,
2014-12,14.38,
