"",BBK01.OEAE17M,BBK01.OEAE17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:25,
2002-01,0.248,
2002-04,0.720,
2002-07,0.733,
2002-10,0.635,
2003-01,0.584,
2003-04,0.725,
2003-07,0.714,
2003-10,0.612,
2004-01,0.430,
2004-04,0.523,
2004-07,0.487,
2004-10,0.478,
2005-01,0.493,
2005-04,0.441,
2005-07,0.420,
2005-10,0.381,
2006-01,0.504,
2006-04,0.360,
2006-07,0.350,
2006-10,0.360,
2007-01,0.348,
2007-04,0.669,
2007-07,0.501,
2007-10,0.367,
2008-01,0.567,
2008-04,0.449,
2008-07,0.319,
2008-10,0.919,
2009-01,0.992,
2009-04,0.601,
2009-07,0.307,
2009-10,0.302,
2010-01,0.127,
2010-04,0.081,
2010-07,0.062,
2010-10,0.059,
2011-01,0.056,
2011-04,0.049,
2011-07,0.053,
2011-10,0.061,
2012-01,0.059,
2012-04,0.063,
2012-07,0.096,
2012-10,0.116,
2013-01,0.097,
2013-04,0.091,
2013-07,0.091,
2013-10,0.096,
2014-01,0.100,
2014-04,0.099,
2014-07,0.091,
