"",BBFN1.M.DE.N.1.L.W1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:24,
1974-12,33.110,
1975-01,33.803,
1975-02,35.090,
1975-03,35.540,
1975-04,36.241,
1975-05,36.027,
1975-06,36.319,
1975-07,36.919,
1975-08,38.394,
1975-09,39.582,
1975-10,40.025,
1975-11,39.547,
1975-12,39.061,
1976-01,38.579,
1976-02,40.018,
1976-03,41.549,
1976-04,42.220,
1976-05,42.713,
1976-06,43.891,
1976-07,43.898,
1976-08,44.289,
1976-09,45.108,
1976-10,45.904,
1976-11,45.329,
1976-12,43.498,
1977-01,43.638,
1977-02,44.291,
1977-03,45.416,
1977-04,45.554,
1977-05,46.431,
1977-06,46.935,
1977-07,47.642,
1977-08,46.868,
1977-09,47.511,
1977-10,48.880,
1977-11,49.725,
1977-12,49.733,
1978-01,49.473,
1978-02,50.730,
1978-03,50.497,
1978-04,49.671,
1978-05,50.420,
1978-06,50.956,
1978-07,50.652,
1978-08,51.623,
1978-09,52.001,
1978-10,54.192,
1978-11,54.612,
1978-12,52.360,
1979-01,52.267,
1979-02,52.869,
1979-03,52.979,
1979-04,53.239,
1979-05,53.734,
1979-06,55.047,
1979-07,55.794,
1979-08,56.013,
1979-09,56.652,
1979-10,57.885,
1979-11,58.311,
1979-12,56.175,
1980-01,58.885,
1980-02,61.096,
1980-03,62.899,
1980-04,63.318,
1980-05,63.840,
1980-06,64.728,
1980-07,65.445,
1980-08,67.005,
1980-09,67.283,
1980-10,68.070,
1980-11,70.060,
1980-12,68.854,
1981-01,71.555,
1981-02,72.233,
1981-03,75.577,
1981-04,78.049,
1981-05,79.549,
1981-06,81.010,
1981-07,82.255,
1981-08,84.063,
1981-09,83.888,
1981-10,84.018,
