"",BBK01.OEXI09I,BBK01.OEXI09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:20,
2002-01,0.926,
2002-04,0.893,
2002-07,0.921,
2002-10,0.889,
2003-01,0.788,
2003-04,0.726,
2003-07,0.629,
2003-10,0.608,
2004-01,0.553,
2004-04,0.515,
2004-07,0.488,
2004-10,0.472,
2005-01,0.483,
2005-04,0.465,
2005-07,0.414,
2005-10,0.405,
2006-01,0.406,
2006-04,0.436,
2006-07,0.484,
2006-10,0.584,
2007-01,0.847,
2007-04,0.948,
2007-07,1.060,
2007-10,1.225,
2008-01,1.276,
2008-04,1.326,
2008-07,1.401,
2008-10,1.708,
2009-01,1.620,
2009-04,1.597,
2009-07,1.551,
2009-10,1.258,
2010-01,1.093,
2010-04,1.097,
2010-07,1.560,
2010-10,1.738,
2011-01,1.979,
2011-04,2.068,
2011-07,2.107,
2011-10,2.041,
2012-01,1.896,
2012-04,1.830,
2012-07,1.678,
2012-10,1.470,
2013-01,1.298,
2013-04,1.146,
2013-07,1.055,
2013-10,1.017,
2014-01,0.972,
2014-04,0.928,
2014-07,1.115,
