"",BBK01.OEAC20S,BBK01.OEAC20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:50,
2002-01,0.294,
2002-04,0.288,
2002-07,0.300,
2002-10,0.265,
2003-01,0.280,
2003-04,0.271,
2003-07,0.256,
2003-10,0.250,
2004-01,0.257,
2004-04,0.249,
2004-07,0.231,
2004-10,0.209,
2005-01,0.214,
2005-04,0.205,
2005-07,0.204,
2005-10,0.193,
2006-01,0.198,
2006-04,0.189,
2006-07,0.189,
2006-10,0.168,
2007-01,0.166,
2007-04,0.163,
2007-07,0.166,
2007-10,0.160,
2008-01,0.170,
2008-04,0.171,
2008-07,0.165,
2008-10,0.156,
2009-01,0.161,
2009-04,0.163,
2009-07,0.148,
2009-10,0.140,
2010-01,0.150,
2010-04,0.145,
2010-07,0.145,
2010-10,0.149,
2011-01,0.144,
2011-04,0.155,
2011-07,0.156,
2011-10,0.155,
2012-01,0.153,
2012-04,0.156,
2012-07,0.160,
2012-10,0.149,
2013-01,0.146,
2013-04,0.146,
2013-07,0.139,
2013-10,0.137,
2014-01,0.133,
2014-04,0.133,
2014-07,0.129,
