"",BBK01.OEHO01K,BBK01.OEHO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:38,
2002-01,6.676,
2002-04,6.685,
2002-07,6.463,
2002-10,6.462,
2003-01,6.728,
2003-04,6.781,
2003-07,6.726,
2003-10,6.665,
2004-01,6.777,
2004-04,6.741,
2004-07,6.704,
2004-10,6.626,
2005-01,6.789,
2005-04,6.770,
2005-07,6.748,
2005-10,6.610,
2006-01,6.576,
2006-04,6.639,
2006-07,6.569,
2006-10,6.475,
2007-01,6.447,
2007-04,6.442,
2007-07,6.313,
2007-10,6.171,
2008-01,6.236,
2008-04,6.380,
2008-07,6.282,
2008-10,6.188,
2009-01,6.609,
2009-04,6.428,
2009-07,6.153,
2009-10,5.890,
2010-01,5.754,
2010-04,5.697,
2010-07,5.620,
2010-10,5.536,
2011-01,5.535,
2011-04,5.561,
2011-07,5.776,
2011-10,5.778,
2012-01,5.791,
2012-04,5.754,
2012-07,5.732,
2012-10,5.722,
2013-01,5.711,
2013-04,5.762,
2013-07,5.684,
2013-10,5.789,
2014-01,5.899,
2014-04,6.244,
2014-07,6.473,
