"",BBK01.OEYO05G,BBK01.OEYO05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:43,
2002-01,-,Nothing exists
2002-04,0.001,
2002-07,0.003,
2002-10,0.145,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,0.003,
2003-10,0.131,
2004-01,-,Nothing exists
2004-04,0.001,
2004-07,0.003,
2004-10,0.111,
2005-01,-,Nothing exists
2005-04,0.001,
2005-07,0.006,
2005-10,0.151,
2006-01,0.007,
2006-04,0.008,
2006-07,0.007,
2006-10,0.172,
2007-01,0.007,
2007-04,0.008,
2007-07,0.008,
2007-10,0.194,
2008-01,0.006,
2008-04,0.006,
2008-07,0.008,
2008-10,0.185,
2009-01,0.003,
2009-04,0.003,
2009-07,0.005,
2009-10,0.094,
2010-01,0.003,
2010-04,0.003,
2010-07,0.003,
2010-10,0.077,
2011-01,0.003,
2011-04,0.006,
2011-07,0.003,
2011-10,0.090,
2012-01,-,Nothing exists
2012-04,0.002,
2012-07,0.003,
2012-10,0.074,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,0.002,
2013-10,0.051,
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
