"",BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F5._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.L.FA.D.F5._Z._T._X.N_FLAGS
"",IIP - Direct investment - Equity and investment fund shares/units - Liabilities - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:36,
1999-10,138038,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,263636,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,211615,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,238986,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,279088,
2004-01,286678,
2004-04,285128,
2004-07,290379,
2004-10,310917,
2005-01,306886,
2005-04,312139,
2005-07,315279,
2005-10,340601,
2006-01,348452,
2006-04,350617,
2006-07,355882,
2006-10,389886,
2007-01,404131,
2007-04,418331,
2007-07,429591,
2007-10,441280,
2008-01,433181,
2008-04,427039,
2008-07,417698,
2008-10,410794,
2009-01,409087,
2009-04,407107,
2009-07,406449,
2009-10,411782,
2010-01,416379,
2010-04,420611,
2010-07,428882,
2010-10,437610,
2011-01,440402,
2011-04,443624,
2011-07,452136,
2011-10,458267,
2012-01,462479,
2012-04,462234,
2012-07,458551,
2012-10,465893,
2013-01,470599,
2013-04,468197,
2013-07,471577,
2013-10,478689,
2014-01,481532,
2014-04,482395,
2014-07,484544,
