"",BBFN1.M.DE.N.1.A.HK.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HK.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:30,
1982-09,0.008,
1982-10,0.007,
1982-11,0.007,
1982-12,0.008,
1983-01,0.008,
1983-02,0.015,
1983-03,0.009,
1983-04,0.009,
1983-05,0.010,
1983-06,0.009,
1983-07,0.009,
1983-08,0.010,
1983-09,0.010,
1983-10,0.010,
1983-11,0.009,
1983-12,0.009,
1984-01,0.009,
1984-02,0.008,
1984-03,0.007,
1984-04,0.008,
1984-05,0.010,
1984-06,0.010,
1984-07,0.009,
1984-08,0.009,
1984-09,0.009,
1984-10,0.009,
1984-11,0.009,
1984-12,0.011,
1985-01,0.011,
1985-02,0.011,
1985-03,0.011,
1985-04,0.011,
1985-05,0.011,
1985-06,0.011,
1985-07,0.011,
1985-08,0.011,
1985-09,0.011,
1985-10,0.011,
1985-11,0.012,
1985-12,0.012,
1986-01,0.012,
1986-02,0.015,
1986-03,0.015,
1986-04,0.015,
1986-05,0.015,
1986-06,0.015,
1986-07,0.011,
1986-08,0.010,
1986-09,0.010,
1986-10,0.011,
1986-11,0.011,
1986-12,.,No value available
1987-01,0.010,
1987-02,0.010,
1987-03,0.010,
1987-04,0.009,
1987-05,0.008,
1987-06,0.008,
1987-07,0.009,
1987-08,0.010,
1987-09,0.010,
1987-10,0.010,
1987-11,0.010,
1987-12,0.017,
1988-01,0.017,
1988-02,0.017,
1988-03,0.017,
1988-04,0.017,
1988-05,0.017,
1988-06,0.017,
1988-07,0.016,
1988-08,0.019,
1988-09,0.013,
1988-10,0.022,
1988-11,0.012,
1988-12,0.013,
1989-01,0.019,
1989-02,0.019,
1989-03,0.020,
1989-04,0.020,
1989-05,0.021,
1989-06,0.027,
1989-07,0.027,
1989-08,0.027,
1989-09,0.027,
1989-10,0.026,
1989-11,0.026,
1989-12,0.013,
1990-01,0.015,
1990-02,0.015,
1990-03,0.019,
1990-04,0.019,
1990-05,0.017,
1990-06,0.017,
1990-07,0.019,
1990-08,0.017,
1990-09,0.017,
1990-10,0.016,
1990-11,0.015,
1990-12,0.016,
1991-01,0.017,
1991-02,0.017,
1991-03,0.012,
1991-04,0.012,
1991-05,0.012,
1991-06,0.031,
1991-07,0.031,
1991-08,0.031,
1991-09,0.032,
1991-10,0.031,
1991-11,0.030,
1991-12,0.031,
1992-01,0.030,
1992-02,0.030,
1992-03,0.030,
1992-04,0.030,
1992-05,0.030,
1992-06,0.030,
1992-07,0.031,
1992-08,0.031,
1992-09,0.031,
1992-10,0.031,
1992-11,0.029,
1992-12,0.029,
1993-01,0.029,
1993-02,0.029,
1993-03,0.029,
1993-04,0.030,
1993-05,0.030,
1993-06,0.030,
1993-07,0.030,
1993-08,0.030,
1993-09,0.030,
1993-10,0.030,
1993-11,0.030,
1993-12,0.031,
1994-01,0.030,
1994-02,0.030,
1994-03,0.026,
1994-04,0.027,
1994-05,0.027,
1994-06,0.029,
1994-07,0.030,
1994-08,0.030,
1994-09,0.029,
1994-10,0.029,
1994-11,0.029,
1994-12,0.029,
1995-01,0.029,
1995-02,0.029,
1995-03,0.030,
1995-04,0.039,
1995-05,0.039,
1995-06,0.039,
1995-07,0.039,
1995-08,0.038,
1995-09,0.038,
1995-10,0.039,
1995-11,0.039,
1995-12,0.029,
1996-01,0.028,
1996-02,0.029,
1996-03,0.029,
1996-04,0.029,
1996-05,0.029,
1996-06,0.030,
1996-07,0.031,
1996-08,0.031,
1996-09,0.031,
1996-10,0.030,
1996-11,0.031,
1996-12,0.040,
1997-01,0.041,
1997-02,0.041,
1997-03,0.046,
1997-04,0.047,
1997-05,0.047,
1997-06,0.048,
1997-07,0.055,
1997-08,0.056,
1997-09,0.056,
1997-10,0.056,
1997-11,0.050,
1997-12,0.042,
1998-01,0.031,
1998-02,0.032,
1998-03,0.032,
1998-04,0.033,
1998-05,0.034,
1998-06,0.032,
1998-07,0.034,
1998-08,0.040,
1998-09,0.032,
1998-10,0.022,
1998-11,0.022,
1998-12,0.021,
1999-01,0.023,
1999-02,0.023,
1999-03,0.024,
1999-04,0.023,
1999-05,0.023,
1999-06,0.023,
1999-07,0.024,
1999-08,0.024,
1999-09,0.037,
1999-10,0.057,
1999-11,0.053,
1999-12,0.063,
2000-01,0.066,
2000-02,0.068,
2000-03,0.070,
2000-04,0.065,
2000-05,0.070,
2000-06,0.067,
2000-07,0.068,
2000-08,0.072,
2000-09,0.074,
2000-10,0.074,
2000-11,0.079,
2000-12,0.083,
2001-01,0.083,
2001-02,0.082,
2001-03,0.084,
2001-04,0.087,
2001-05,0.088,
2001-06,0.108,
2001-07,0.109,
2001-08,0.106,
2001-09,0.108,
2001-10,0.106,
2001-11,0.109,
2001-12,0.099,
2002-01,0.094,
2002-02,0.079,
2002-03,0.080,
2002-04,0.082,
2002-05,0.083,
2002-06,0.082,
2002-07,0.080,
2002-08,0.080,
2002-09,0.081,
2002-10,0.078,
2002-11,0.075,
2002-12,0.074,
2003-01,0.074,
2003-02,0.074,
