"",BBSF2.M.1.S.00000.GEM01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:58,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,3733,
1993-05,3779,
1993-06,3564,
1993-07,4169,
1993-08,3942,
1993-09,4241,
1993-10,4436,
1993-11,4931,
1993-12,4313,
1994-01,4638,
1994-02,4444,
1994-03,3652,
1994-04,4035,
1994-05,4179,
1994-06,4091,
1994-07,4088,
1994-08,4423,
1994-09,5002,
1994-10,5533,
1994-11,4665,
1994-12,4772,
1995-01,4885,
1995-02,5085,
1995-03,5201,
1995-04,5497,
1995-05,6314,
1995-06,6471,
1995-07,5763,
1995-08,5465,
1995-09,5555,
1995-10,5125,
1995-11,5020,
1995-12,5915,
1996-01,6332,
1996-02,7210,
1996-03,7163,
1996-04,5654,
1996-05,6148,
1996-06,6128,
1996-07,6955,
1996-08,6577,
1996-09,6133,
1996-10,7434,
1996-11,6115,
1996-12,6536,
1997-01,6655,
1997-02,6915,
1997-03,8235,
1997-04,7667,
1997-05,7600,
1997-06,7276,
1997-07,8051,
1997-08,8088,
1997-09,8050,
1997-10,8967,
1997-11,8171,
1997-12,9206,
1998-01,10567,
1998-02,9423,
1998-03,10265,
1998-04,10754,
1998-05,11059,
1998-06,9980,
1998-07,9906,
1998-08,10820,
1998-09,12932,
1998-10,15040,
1998-11,13787,
1998-12,14530,
1999-01,12883,
1999-02,13031,
1999-03,13170,
1999-04,13434,
1999-05,14789,
1999-06,14567,
1999-07,14975,
1999-08,14312,
1999-09,16477,
1999-10,15828,
1999-11,14941,
1999-12,15073,
2000-01,18022,
2000-02,18230,
2000-03,17439,
2000-04,18580,
2000-05,18645,
2000-06,17145,
2000-07,15515,
2000-08,14822,
2000-09,14326,
2000-10,14487,
2000-11,14506,
2000-12,14606,
2001-01,14664,
2001-02,17155,
2001-03,15544,
2001-04,16384,
2001-05,16841,
2001-06,16259,
2001-07,15992,
2001-08,17416,
2001-09,21095,
2001-10,20743,
2001-11,20612,
2001-12,19293,
2002-01,17236,
2002-02,15925,
2002-03,15902,
2002-04,16009,
2002-05,16162,
2002-06,19551,
2002-07,21095,
2002-08,21181,
2002-09,23347,
2002-10,24543,
2002-11,29312,
2002-12,22274,
2003-01,23185,
2003-02,23293,
2003-03,24941,
2003-04,24879,
2003-05,24406,
2003-06,23856,
2003-07,22863,
2003-08,22266,
2003-09,22041,
2003-10,21749,
2003-11,21750,
2003-12,20222,
2004-01,21758,
2004-02,20223,
2004-03,19659,
2004-04,21276,
2004-05,19973,
2004-06,19025,
2004-07,18369,
2004-08,18860,
2004-09,17364,
2004-10,17594,
2004-11,18360,
2004-12,16437,
2005-01,17679,
2005-02,19154,
2005-03,17244,
2005-04,17523,
2005-05,16965,
2005-06,19406,
2005-07,19341,
2005-08,19183,
2005-09,19376,
2005-10,17736,
2005-11,15700,
2005-12,13535,
2006-01,14600,
2006-02,14761,
2006-03,16049,
2006-04,16323,
2006-05,18042,
2006-06,18699,
2006-07,17337,
2006-08,17225,
2006-09,16427,
2006-10,16542,
2006-11,16519,
2006-12,16512,
2007-01,17803,
2007-02,17032,
2007-03,16839,
2007-04,18453,
2007-05,18448,
2007-06,19781,
2007-07,19208,
2007-08,20830,
2007-09,23359,
2007-10,23799,
2007-11,25144,
2007-12,27472,
2008-01,29051,
2008-02,29221,
2008-03,32745,
2008-04,31795,
2008-05,32108,
2008-06,30102,
2008-07,32836,
2008-08,32520,
2008-09,35185,
2008-10,37472,
2008-11,37432,
2008-12,35643,
2009-01,34630,
2009-02,33921,
2009-03,31589,
2009-04,27910,
2009-05,23546,
2009-06,20879,
2009-07,19332,
2009-08,18406,
2009-09,17493,
2009-10,16778,
2009-11,17160,
2009-12,16823,
2010-01,16294,
2010-02,15498,
2010-03,14474,
2010-04,13386,
2010-05,14239,
2010-06,14677,
2010-07,14480,
2010-08,13903,
2010-09,13541,
2010-10,12419,
2010-11,14644,
2010-12,14077,
2011-01,14418,
2011-02,16211,
2011-03,14789,
2011-04,14941,
2011-05,15135,
2011-06,14877,
2011-07,14850,
2011-08,18051,
2011-09,19201,
2011-10,19490,
2011-11,20069,
2011-12,18925,
2012-01,19473,
2012-02,18218,
2012-03,17352,
2012-04,17232,
2012-05,17188,
2012-06,17741,
2012-07,18126,
2012-08,17075,
2012-09,17919,
2012-10,17860,
2012-11,17047,
2012-12,16171,
2013-01,15766,
2013-02,16672,
2013-03,18698,
2013-04,19201,
2013-05,18654,
2013-06,19897,
2013-07,19198,
2013-08,18861,
2013-09,17773,
2013-10,17831,
2013-11,17720,
2013-12,19202,
2014-01,18909,
2014-02,19112,
2014-03,18590,
2014-04,18542,
2014-05,18030,
2014-06,16197,
2014-07,17018,
2014-08,18429,
2014-09,19470,
2014-10,19203,
2014-11,18495,
