"",BBK01.OEAH38J,BBK01.OEAH38J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:09,
2002-01,0.282,
2002-04,0.281,
2002-07,0.276,
2002-10,0.277,
2003-01,0.306,
2003-04,0.313,
2003-07,0.297,
2003-10,0.266,
2004-01,0.266,
2004-04,0.254,
2004-07,0.217,
2004-10,0.240,
2005-01,0.237,
2005-04,0.231,
2005-07,0.236,
2005-10,0.236,
2006-01,0.218,
2006-04,0.207,
2006-07,0.213,
2006-10,0.206,
2007-01,0.203,
2007-04,0.194,
2007-07,0.187,
2007-10,0.185,
2008-01,0.193,
2008-04,0.188,
2008-07,0.188,
2008-10,0.183,
2009-01,0.183,
2009-04,0.173,
2009-07,0.174,
2009-10,0.178,
2010-01,0.176,
2010-04,0.169,
2010-07,0.169,
2010-10,0.162,
2011-01,0.161,
2011-04,0.158,
2011-07,0.144,
2011-10,0.141,
2012-01,0.141,
2012-04,0.141,
2012-07,0.138,
2012-10,0.135,
2013-01,0.126,
2013-04,0.155,
2013-07,0.154,
2013-10,0.135,
2014-01,0.130,
2014-04,0.129,
2014-07,0.129,
