"",BBK01.OEAH91K,BBK01.OEAH91K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:01,
2002-01,1.026,
2002-04,0.999,
2002-07,0.999,
2002-10,0.984,
2003-01,1.003,
2003-04,0.973,
2003-07,1.048,
2003-10,0.970,
2004-01,0.898,
2004-04,0.831,
2004-07,1.137,
2004-10,0.881,
2005-01,0.969,
2005-04,2.189,
2005-07,2.174,
2005-10,2.195,
2006-01,2.431,
2006-04,2.469,
2006-07,0.882,
2006-10,0.868,
2007-01,0.816,
2007-04,0.860,
2007-07,0.954,
2007-10,0.817,
2008-01,0.775,
2008-04,0.767,
2008-07,0.815,
2008-10,0.822,
2009-01,0.331,
2009-04,0.319,
2009-07,0.319,
2009-10,0.215,
2010-01,0.186,
2010-04,0.170,
2010-07,0.168,
2010-10,0.173,
2011-01,0.166,
2011-04,0.164,
2011-07,0.151,
2011-10,0.132,
2012-01,0.091,
2012-04,0.089,
2012-07,0.088,
2012-10,0.093,
2013-01,0.084,
2013-04,0.066,
2013-07,1.562,
2013-10,1.514,
2014-01,1.510,
2014-04,1.514,
2014-07,1.486,
