"",BBK01.CEF50C,BBK01.CEF50C_FLAGS
"",Equity and investment fund shares or units                                                     debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:33,
1999-01,172.7,
1999-04,169.3,
1999-07,161.8,
1999-10,188.5,
2000-01,189.1,
2000-04,184.9,
2000-07,182.3,
2000-10,154.0,
2001-01,150.2,
2001-04,151.0,
2001-07,138.9,
2001-10,144.3,
2002-01,146.0,
2002-04,146.7,
2002-07,139.4,
2002-10,128.3,
2003-01,127.6,
2003-04,131.7,
2003-07,131.8,
2003-10,140.5,
2004-01,141.4,
2004-04,143.2,
2004-07,137.9,
2004-10,137.4,
2005-01,146.7,
2005-04,148.8,
2005-07,156.2,
2005-10,152.9,
2006-01,156.0,
2006-04,150.0,
2006-07,150.6,
2006-10,158.3,
2007-01,154.9,
2007-04,157.5,
2007-07,153.6,
2007-10,192.7,
2008-01,188.9,
2008-04,193.2,
2008-07,199.4,
2008-10,209.9,
2009-01,214.7,
2009-04,229.9,
2009-07,240.7,
2009-10,247.6,
2010-01,264.1,
2010-04,280.2,
2010-07,296.8,
2010-10,310.7,
2011-01,318.0,
2011-04,310.8,
2011-07,307.8,
2011-10,308.3,
2012-01,315.6,
2012-04,320.3,
2012-07,328.3,
2012-10,340.1,
2013-01,341.7,
2013-04,347.4,
2013-07,355.4,
2013-10,364.9,
2014-01,365.1,
2014-04,372.9,
2014-07,371.7,
