"",BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:10,
1991-01,92.097,
1991-04,93.140,
1991-07,78.108,
1991-10,62.512,
1992-01,-7.299,
1992-04,-21.527,
1992-07,-5.264,
1992-10,-60.710,
1993-01,87.437,
1993-04,111.443,
1993-07,122.225,
1993-10,111.747,
1994-01,-174.617,
1994-04,-204.035,
1994-07,-172.057,
1994-10,-175.842,
1995-01,21.209,
1995-04,3.501,
1995-07,22.364,
1995-10,-59.399,
1996-01,-167.508,
1996-04,-189.766,
1996-07,-164.783,
1996-10,-164.783,
1997-01,-25.578,
1997-04,-32.860,
1997-07,-41.151,
1997-10,-63.476,
1998-01,24.520,
1998-04,16.703,
1998-07,25.948,
1998-10,23.644,
1999-01,-61.095,
1999-04,-49.050,
1999-07,-56.933,
1999-10,-56.852,
2000-01,-189.297,
2000-04,-187.026,
2000-07,-194.967,
2000-10,-189.198,
2001-01,-2000.663,
2001-04,-2542.210,
2001-07,-2505.184,
2001-10,-2628.839,
2002-01,-79.522,
2002-04,-39.566,
2002-07,3.301,
2002-10,-164.282,
2003-01,-503.025,
2003-04,-560.895,
2003-07,-1300.182,
2003-10,-712.092,
2004-01,168.546,
2004-04,166.734,
2004-07,175.870,
2004-10,165.411,
2005-01,164.096,
2005-04,-875.960,
2005-07,316.764,
2005-10,-122.309,
2006-01,254.896,
2006-04,-877.167,
2006-07,439.010,
2006-10,256.470,
2007-01,575.023,
2007-04,-568.511,
2007-07,141.901,
2007-10,99.557,
2008-01,-1024.844,
2008-04,-414.064,
2008-07,230.224,
2008-10,-140.603,
2009-01,-623.995,
2009-04,-288.768,
2009-07,-400.451,
2009-10,-1263.579,
2010-01,146.347,
2010-04,-424.359,
2010-07,203.277,
2010-10,-75.065,
2011-01,251.532,
2011-04,-309.217,
2011-07,34.473,
2011-10,-505.299,
2012-01,189.222,
2012-04,-231.469,
2012-07,205.621,
2012-10,158.742,
2013-01,-156.011,
2013-04,-695.738,
2013-07,-145.584,
2013-10,-353.277,
2014-01,-179.552,Provisional value
2014-04,-387.621,Provisional value
2014-07,-103.692,Provisional value
2014-10,-182.304,Provisional value
