"",BBK01.OELB06P,BBK01.OELB06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:45,
2002-01,1.029,
2002-04,1.041,
2002-07,1.026,
2002-10,0.966,
2003-01,0.928,
2003-04,0.926,
2003-07,0.889,
2003-10,0.878,
2004-01,0.858,
2004-04,0.852,
2004-07,0.845,
2004-10,0.808,
2005-01,0.778,
2005-04,0.765,
2005-07,0.767,
2005-10,0.742,
2006-01,0.730,
2006-04,0.777,
2006-07,0.727,
2006-10,0.735,
2007-01,0.721,
2007-04,0.717,
2007-07,0.701,
2007-10,0.683,
2008-01,0.649,
2008-04,0.674,
2008-07,0.698,
2008-10,0.675,
2009-01,0.687,
2009-04,0.671,
2009-07,0.650,
2009-10,0.622,
2010-01,0.633,
2010-04,0.638,
2010-07,0.630,
2010-10,0.613,
2011-01,0.580,
2011-04,0.604,
2011-07,0.593,
2011-10,0.546,
2012-01,0.574,
2012-04,0.602,
2012-07,0.587,
2012-10,0.585,
2013-01,0.592,
2013-04,0.579,
2013-07,0.556,
2013-10,0.553,
2014-01,0.548,
2014-04,0.524,
2014-07,0.512,
