"",BBFB1.Q.N.DE.IT.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:54,
1991-01,-477.155,
1991-04,-1091.167,
1991-07,-1436.479,
1991-10,-569.184,
1992-01,-403.961,
1992-04,-943.420,
1992-07,-1231.027,
1992-10,-492.129,
1993-01,-338.991,
1993-04,-980.135,
1993-07,-1294.454,
1993-10,-522.107,
1994-01,-426.459,
1994-04,-1207.957,
1994-07,-1657.595,
1994-10,-629.710,
1995-01,-488.995,
1995-04,-1303.542,
1995-07,-1788.186,
1995-10,-674.270,
1996-01,-529.883,
1996-04,-1452.198,
1996-07,-1911.071,
1996-10,-739.132,
1997-01,-514.632,
1997-04,-1357.914,
1997-07,-1846.550,
1997-10,-711.402,
1998-01,-453.722,
1998-04,-1451.558,
1998-07,-1973.085,
1998-10,-709.574,
1999-01,-550.885,
1999-04,-1588.971,
1999-07,-2270.844,
1999-10,-842.517,
2000-01,-620.132,
2000-04,-1792.787,
2000-07,-2476.240,
2000-10,-935.435,
2001-01,-704.708,
2001-04,-2075.858,
2001-07,-2774.252,
2001-10,-1028.513,
2002-01,-816.685,
2002-04,-1849.414,
2002-07,-2546.964,
2002-10,-1083.955,
2003-01,-708.202,
2003-04,-1695.812,
2003-07,-2485.304,
2003-10,-719.423,
2004-01,-493.307,
2004-04,-1215.185,
2004-07,-1607.309,
2004-10,-408.559,
2005-01,-464.286,
2005-04,-1075.262,
2005-07,-1846.429,
2005-10,-537.836,
2006-01,-445.432,
2006-04,-1253.210,
2006-07,-1429.367,
2006-10,-308.737,
2007-01,-151.286,
2007-04,-1241.253,
2007-07,-1894.314,
2007-10,-594.776,
2008-01,-280.339,
2008-04,-1339.364,
2008-07,-2080.214,
2008-10,-355.944,
2009-01,-313.971,
2009-04,-1086.924,
2009-07,-2061.301,
2009-10,-460.987,
2010-01,-351.915,
2010-04,-1417.028,
2010-07,-2056.098,
2010-10,-507.309,
2011-01,-470.998,
2011-04,-1332.902,
2011-07,-2156.302,
2011-10,-655.196,
2012-01,-382.583,
2012-04,-1605.177,
2012-07,-2577.408,
2012-10,-648.548,
2013-01,-726.242,
2013-04,-1759.488,
2013-07,-2871.100,
2013-10,-807.187,
2014-01,-530.830,Provisional value
2014-04,-1648.361,Provisional value
2014-07,-3003.226,Provisional value
