"",BBK01.OEAC57O,BBK01.OEAC57O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:50,
2002-01,6.380,
2002-04,6.838,
2002-07,6.734,
2002-10,6.557,
2003-01,6.663,
2003-04,5.960,
2003-07,5.187,
2003-10,5.254,
2004-01,5.251,
2004-04,5.344,
2004-07,5.695,
2004-10,5.863,
2005-01,5.931,
2005-04,5.891,
2005-07,6.435,
2005-10,6.446,
2006-01,6.451,
2006-04,6.503,
2006-07,6.538,
2006-10,6.800,
2007-01,6.806,
2007-04,6.847,
2007-07,6.865,
2007-10,6.930,
2008-01,6.888,
2008-04,6.942,
2008-07,6.783,
2008-10,6.655,
2009-01,6.611,
2009-04,6.710,
2009-07,6.734,
2009-10,6.598,
2010-01,6.740,
2010-04,6.517,
2010-07,6.841,
2010-10,7.017,
2011-01,6.963,
2011-04,6.929,
2011-07,6.720,
2011-10,6.682,
2012-01,6.847,
2012-04,6.930,
2012-07,6.830,
2012-10,6.953,
2013-01,6.977,
2013-04,7.126,
2013-07,7.513,
2013-10,7.559,
2014-01,7.660,
2014-04,7.669,
2014-07,7.685,
