"",BBDE1.Q.DE.Y.LCB1.P2XG00100.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.P2XG00100.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Section G-S - Service activities / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:15,
1996-01,79.664,
1996-04,79.938,
1996-07,80.240,
1996-10,81.582,
1997-01,81.821,
1997-04,81.565,
1997-07,81.160,
1997-10,82.278,
1998-01,82.558,
1998-04,82.901,
1998-07,83.116,
1998-10,83.200,
1999-01,83.706,
1999-04,85.055,
1999-07,85.548,
1999-10,85.489,
2000-01,85.557,
2000-04,86.440,
2000-07,87.733,
2000-10,87.850,
2001-01,88.086,
2001-04,88.553,
2001-07,89.348,
2001-10,90.313,
2002-01,90.395,
2002-04,90.619,
2002-07,91.401,
2002-10,92.563,
2003-01,92.793,
2003-04,92.894,
2003-07,93.466,
2003-10,93.664,
2004-01,94.193,
2004-04,94.154,
2004-07,94.116,
2004-10,94.378,
2005-01,94.828,
2005-04,94.469,
2005-07,94.808,
2005-10,94.830,
2006-01,95.047,
2006-04,95.811,
2006-07,95.962,
2006-10,96.209,
2007-01,95.826,
2007-04,96.889,
2007-07,97.531,
2007-10,98.375,
2008-01,100.042,
2008-04,99.116,
2008-07,100.024,
2008-10,100.817,
2009-01,102.964,
2009-04,102.824,
2009-07,103.317,
2009-10,102.413,
2010-01,103.740,
2010-04,103.338,
2010-07,103.833,
2010-10,103.705,
2011-01,105.164,
2011-04,106.269,
2011-07,106.742,
2011-10,107.028,
2012-01,108.354,
2012-04,110.129,
2012-07,110.885,
2012-10,111.691,
2013-01,111.297,
2013-04,112.057,
2013-07,111.545,
2013-10,112.645,
2014-01,112.572,
2014-04,113.023,
2014-07,113.849,
