"",BBSF2.M.1.T.00000.GEM01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed securities funds / Number outstanding,
unit,Stück (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:22,
2009-09,3792654,
2009-10,3816628,
2009-11,3815150,
2009-12,3856659,
2010-01,3896110,
2010-02,3907859,
2010-03,3918766,
2010-04,3900833,
2010-05,3874967,
2010-06,3918235,
2010-07,3934387,
2010-08,3964961,
2010-09,3940058,
2010-10,3982285,
2010-11,4017169,
2010-12,4177061,
2011-01,4228346,
2011-02,4259460,
2011-03,4267828,
2011-04,4268179,
2011-05,4262408,
2011-06,4271458,
2011-07,4273315,
2011-08,4244726,
2011-09,4234089,
2011-10,4314227,
2011-11,4298916,
2011-12,4332475,
2012-01,4285547,
2012-02,4342963,
2012-03,4348152,
2012-04,4370702,
2012-05,4360018,
2012-06,4378257,
2012-07,4383635,
2012-08,4390727,
2012-09,4423675,
2012-10,4452531,
2012-11,4494113,
2012-12,4568175,
2013-01,4632139,
2013-02,4719828,
2013-03,4804724,
2013-04,4838684,
2013-05,4877736,
2013-06,4936510,
2013-07,4973073,
2013-08,4994502,
2013-09,4997417,
2013-10,4978172,
2013-11,5000972,
2013-12,5082162,
2014-01,5085889,
2014-02,5150388,
2014-03,5182248,
2014-04,5196613,
2014-05,5228880,
2014-06,5240861,
2014-07,5317805,
2014-08,5515679,
2014-09,5531673,
2014-10,5551796,
2014-11,5561831,
