"",BBSF2.M.1.S.I0015.TOT01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.TOT01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Net asset value / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:29,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,6200,
1993-05,6276,
1993-06,6398,
1993-07,6730,
1993-08,6909,
1993-09,6882,
1993-10,7129,
1993-11,7161,
1993-12,7437,
1994-01,7597,
1994-02,7452,
1994-03,7448,
1994-04,7713,
1994-05,7613,
1994-06,7526,
1994-07,7707,
1994-08,7801,
1994-09,7661,
1994-10,7722,
1994-11,7712,
1994-12,7805,
1995-01,7803,
1995-02,7957,
1995-03,7863,
1995-04,7908,
1995-05,8123,
1995-06,8115,
1995-07,8464,
1995-08,8601,
1995-09,8653,
1995-10,8660,
1995-11,8831,
1995-12,9211,
1996-01,9564,
1996-02,9552,
1996-03,9640,
1996-04,9818,
1996-05,9924,
1996-06,10083,
1996-07,10281,
1996-08,10543,
1996-09,10896,
1996-10,11095,
1996-11,11414,
1996-12,11536,
1997-01,11987,
1997-02,12600,
1997-03,12760,
1997-04,12884,
1997-05,13185,
1997-06,13678,
1997-07,14611,
1997-08,14014,
1997-09,14613,
1997-10,14070,
1997-11,13899,
1997-12,14363,
1998-01,14919,
1998-02,15597,
1998-03,16300,
1998-04,16350,
1998-05,16980,
1998-06,17453,
1998-07,17952,
1998-08,17173,
1998-09,16862,
1998-10,17284,
1998-11,18107,
1998-12,18180,
1999-01,18827,
1999-02,19014,
1999-03,19364,
1999-04,20230,
1999-05,20021,
1999-06,20446,
1999-07,20828,
1999-08,20066,
1999-09,19904,
1999-10,20398,
1999-11,21266,
1999-12,22705,
2000-01,23093,
2000-02,24164,
2000-03,24720,
2000-04,24880,
2000-05,24648,
2000-06,24773,
2000-07,25197,
2000-08,25857,
2000-09,25547,
2000-10,25851,
2000-11,24990,
2000-12,24801,
2001-01,25142,
2001-02,24742,
2001-03,24626,
2001-04,25442,
2001-05,25678,
2001-06,25410,
2001-07,25604,
2001-08,24853,
2001-09,23729,
2001-10,24734,
2001-11,25516,
2001-12,25602,
2002-01,25626,
2002-02,25526,
2002-03,25938,
2002-04,25974,
2002-05,25662,
2002-06,24683,
2002-07,23877,
2002-08,24114,
2002-09,23313,
2002-10,23786,
2002-11,24156,
2002-12,23751,
2003-01,23567,
2003-02,23520,
2003-03,25051,
2003-04,25860,
2003-05,26253,
2003-06,26443,
2003-07,26462,
2003-08,26711,
2003-09,26620,
2003-10,27254,
2003-11,26960,
2003-12,27917,
2004-01,28464,
2004-02,28462,
2004-03,28415,
2004-04,28314,
2004-05,28276,
2004-06,27345,
2004-07,27199,
2004-08,27438,
2004-09,27488,
2004-10,27048,
2004-11,26916,
2004-12,28956,
2005-01,29258,
2005-02,29422,
2005-03,29519,
2005-04,29111,
2005-05,29734,
2005-06,30337,
2005-07,30534,
2005-08,30746,
2005-09,29613,
2005-10,29110,
2005-11,29481,
2005-12,29857,
2006-01,28599,
2006-02,28851,
2006-03,29041,
2006-04,28899,
2006-05,29963,
2006-06,33020,
2006-07,33055,
2006-08,33543,
2006-09,33995,
2006-10,34451,
2006-11,34422,
2006-12,34784,
2007-01,34896,
2007-02,36635,
2007-03,36696,
2007-04,37100,
2007-05,37435,
2007-06,37046,
2007-07,37814,
2007-08,37858,
2007-09,37610,
2007-10,38296,
2007-11,37713,
2007-12,37377,
2008-01,36081,
2008-02,36113,
2008-03,35862,
2008-04,37240,
2008-05,37089,
2008-06,35718,
2008-07,35686,
2008-08,35944,
2008-09,34320,
2008-10,32329,
2008-11,33102,
2008-12,32596,
2009-01,32246,
2009-02,31872,
2009-03,32652,
2009-04,33953,
2009-05,35200,
2009-06,35978,
2009-07,38297,
2009-08,38610,
2009-09,38838,
2009-10,39447,
2009-11,39267,
2009-12,39881,
2010-01,39275,
2010-02,39156,
2010-03,40129,
2010-04,40185,
2010-05,40149,
2010-06,39897,
2010-07,40763,
2010-08,40884,
2010-09,41049,
2010-10,41444,
2010-11,41270,
2010-12,41970,
2011-01,42042,
2011-02,42213,
2011-03,42093,
2011-04,42622,
2011-05,42823,
2011-06,42614,
2011-07,42687,
2011-08,42084,
2011-09,42321,
2011-10,45976,
2011-11,45474,
2011-12,46036,
2012-01,47310,
2012-02,48200,
2012-03,48149,
2012-04,47935,
2012-05,47447,
2012-06,47877,
2012-07,48861,
2012-08,49280,
2012-09,49712,
2012-10,50290,
2012-11,50429,
2012-12,50848,
2013-01,51572,
2013-02,52180,
2013-03,52923,
2013-04,53559,
2013-05,54661,
2013-06,54516,
2013-07,55999,
2013-08,55512,
2013-09,57976,
2013-10,58950,
2013-11,59151,
2013-12,60173,
2014-01,60248,
2014-02,61337,
2014-03,61678,
2014-04,61873,
2014-05,63042,
2014-06,63446,
2014-07,63553,
2014-08,64239,
2014-09,64434,
2014-10,64594,
2014-11,65465,
