"",BBFN1.M.DE.N.1.A.KR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from financial operations / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:23,
1995-01,0.603,
1995-02,0.768,
1995-03,0.946,
1995-04,1.224,
1995-05,1.188,
1995-06,1.150,
1995-07,1.315,
1995-08,1.368,
1995-09,1.401,
1995-10,1.561,
1995-11,1.522,
1995-12,1.278,
1996-01,1.153,
1996-02,1.077,
1996-03,1.049,
1996-04,0.980,
1996-05,0.928,
1996-06,0.917,
1996-07,1.226,
1996-08,1.397,
1996-09,1.488,
1996-10,1.386,
1996-11,1.387,
1996-12,0.704,
1997-01,1.192,
1997-02,1.377,
1997-03,1.568,
1997-04,1.688,
1997-05,1.543,
1997-06,1.511,
1997-07,1.631,
1997-08,1.521,
1997-09,1.541,
1997-10,1.288,
1997-11,1.066,
1997-12,0.578,
1998-01,0.303,
1998-02,0.179,
1998-03,0.183,
1998-04,0.089,
1998-05,0.227,
1998-06,0.227,
1998-07,0.390,
1998-08,0.248,
1998-09,0.264,
1998-10,0.266,
1998-11,0.266,
1998-12,0.295,
1999-01,0.304,
1999-02,0.303,
1999-03,0.246,
1999-04,0.292,
1999-05,0.289,
1999-06,0.241,
1999-07,0.288,
1999-08,0.315,
1999-09,0.314,
1999-10,0.330,
1999-11,0.406,
1999-12,0.250,
2000-01,0.318,
2000-02,0.249,
2000-03,0.253,
2000-04,0.218,
2000-05,0.226,
2000-06,0.211,
2000-07,0.213,
2000-08,0.365,
2000-09,0.394,
2000-10,0.424,
2000-11,0.411,
2000-12,0.518,
2001-01,0.567,
2001-02,0.793,
2001-03,0.816,
2001-04,0.845,
2001-05,0.860,
2001-06,0.883,
2001-07,0.875,
2001-08,0.840,
2001-09,0.771,
2001-10,0.789,
2001-11,0.757,
2001-12,0.467,
2002-01,0.798,
2002-02,0.930,
2002-03,0.959,
2002-04,0.963,
2002-05,0.947,
2002-06,0.983,
2002-07,1.048,
2002-08,1.038,
2002-09,1.292,
2002-10,1.110,
2002-11,1.109,
2002-12,0.566,
2003-01,0.552,
2003-02,0.585,
2003-03,0.609,
2003-04,0.609,
2003-05,0.625,
2003-06,0.624,
2003-07,0.606,
2003-08,0.597,
2003-09,0.602,
2003-10,0.605,
2003-11,0.594,
2003-12,0.504,
2004-01,0.483,
2004-02,0.480,
2004-03,0.532,
2004-04,0.530,
2004-05,0.516,
2004-06,0.567,
2004-07,0.557,
2004-08,0.547,
2004-09,0.596,
2004-10,0.593,
2004-11,0.551,
2004-12,0.552,
2005-01,0.551,
2005-02,0.586,
2005-03,0.629,
2005-04,0.634,
2005-05,0.635,
2005-06,0.678,
2005-07,0.667,
2005-08,0.683,
2005-09,0.649,
2005-10,0.643,
2005-11,0.725,
2005-12,0.730,
2006-01,0.717,
2006-02,0.746,
2006-03,0.776,
2006-04,0.816,
2006-05,0.828,
2006-06,0.894,
2006-07,0.918,
2006-08,0.897,
2006-09,0.894,
2006-10,0.867,
2006-11,0.896,
2006-12,0.772,
2007-01,0.675,
2007-02,0.662,
2007-03,0.693,
2007-04,0.702,
2007-05,0.745,
2007-06,0.645,
2007-07,0.598,
2007-08,0.586,
2007-09,0.543,
2007-10,0.571,
2007-11,0.504,
2007-12,0.454,
2008-01,0.445,
2008-02,0.512,
2008-03,0.522,
2008-04,0.532,
2008-05,0.818,
2008-06,0.828,
2008-07,0.895,
2008-08,0.871,
2008-09,0.774,
2008-10,0.822,
2008-11,0.859,
2008-12,0.791,
2009-01,0.743,
2009-02,0.739,
2009-03,0.741,
2009-04,0.726,
2009-05,0.741,
2009-06,0.757,
2009-07,0.787,
2009-08,0.791,
2009-09,0.845,
2009-10,0.855,
2009-11,0.781,
2009-12,0.837,
2010-01,0.833,
2010-02,0.826,
2010-03,0.839,
2010-04,0.818,
2010-05,0.858,
2010-06,0.804,
2010-07,0.859,
2010-08,0.881,
2010-09,0.790,
2010-10,0.783,
2010-11,0.786,
2010-12,0.918,
2011-01,0.891,
2011-02,0.893,
2011-03,0.877,
2011-04,0.865,
2011-05,0.896,
2011-06,0.865,
2011-07,0.876,
2011-08,0.895,
2011-09,0.832,
2011-10,0.848,
2011-11,0.776,
2011-12,0.788,
2012-01,0.774,
2012-02,0.794,
2012-03,0.787,
2012-04,0.803,
2012-05,0.849,
2012-06,0.852,
2012-07,0.877,
2012-08,0.902,
2012-09,0.883,
2012-10,0.854,
2012-11,0.834,
2012-12,0.839,
2013-01,0.919,
2013-02,0.851,
2013-03,0.725,
2013-04,0.687,
2013-05,0.708,
2013-06,0.736,
2013-07,0.640,
2013-08,0.663,
2013-09,0.702,
2013-10,0.683,
2013-11,0.642,
2013-12,0.666,
2014-01,0.663,
2014-02,0.683,
2014-03,0.709,
2014-04,0.741,
2014-05,0.729,
2014-06,0.678,
2014-07,0.628,
2014-08,0.651,
2014-09,0.669,
2014-10,0.687,
2014-11,0.660,
2014-12,0.777,
