"",BBK01.OEAL01S,BBK01.OEAL01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:57,
2002-01,20.413,
2002-04,20.366,
2002-07,20.428,
2002-10,21.114,
2003-01,21.205,
2003-04,21.096,
2003-07,21.078,
2003-10,21.600,
2004-01,21.687,
2004-04,21.595,
2004-07,21.532,
2004-10,22.032,
2005-01,23.412,
2005-04,23.342,
2005-07,23.302,
2005-10,23.770,
2006-01,23.845,
2006-04,23.689,
2006-07,23.542,
2006-10,23.872,
2007-01,24.029,
2007-04,24.047,
2007-07,24.118,
2007-10,24.650,
2008-01,24.617,
2008-04,24.570,
2008-07,24.376,
2008-10,25.213,
2009-01,25.493,
2009-04,25.778,
2009-07,25.756,
2009-10,26.326,
2010-01,26.710,
2010-04,26.951,
2010-07,26.947,
2010-10,27.521,
2011-01,27.516,
2011-04,27.518,
2011-07,27.549,
2011-10,28.211,
2012-01,28.306,
2012-04,28.434,
2012-07,28.691,
2012-10,29.018,
2013-01,29.208,
2013-04,29.343,
2013-07,29.420,
2013-10,29.842,
2014-01,30.025,
2014-04,30.226,
2014-07,30.536,
