"",BBFN1.M.DE.N.1.L.PE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Peru,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:16,
1994-07,0.014,
1994-08,0.020,
1994-09,0.020,
1994-10,0.016,
1994-11,0.014,
1994-12,0.014,
1995-01,0.016,
1995-02,0.013,
1995-03,0.011,
1995-04,0.013,
1995-05,0.016,
1995-06,0.012,
1995-07,0.015,
1995-08,0.019,
1995-09,0.018,
1995-10,0.019,
1995-11,0.020,
1995-12,0.021,
1996-01,0.024,
1996-02,0.036,
1996-03,0.016,
1996-04,0.018,
1996-05,0.021,
1996-06,0.024,
1996-07,0.029,
1996-08,0.030,
1996-09,0.034,
1996-10,0.044,
1996-11,0.041,
1996-12,0.037,
1997-01,0.052,
1997-02,0.056,
1997-03,0.056,
1997-04,0.063,
1997-05,0.056,
1997-06,0.055,
1997-07,0.056,
1997-08,0.058,
1997-09,0.053,
1997-10,0.046,
1997-11,0.048,
1997-12,0.033,
1998-01,0.059,
1998-02,0.064,
1998-03,0.026,
1998-04,0.026,
1998-05,0.038,
1998-06,0.040,
1998-07,0.033,
1998-08,0.037,
1998-09,0.036,
1998-10,0.038,
1998-11,0.034,
1998-12,0.033,
1999-01,0.031,
1999-02,0.026,
1999-03,0.024,
1999-04,0.025,
1999-05,0.030,
1999-06,0.027,
1999-07,0.029,
1999-08,0.029,
1999-09,0.018,
1999-10,0.021,
1999-11,0.022,
1999-12,0.023,
2000-01,0.021,
2000-02,0.020,
2000-03,0.021,
2000-04,0.022,
2000-05,0.024,
2000-06,0.024,
2000-07,0.025,
2000-08,0.024,
2000-09,0.021,
2000-10,0.021,
2000-11,0.021,
2000-12,0.025,
2001-01,0.024,
2001-02,0.024,
2001-03,0.020,
2001-04,0.021,
2001-05,0.025,
2001-06,0.028,
2001-07,0.031,
2001-08,0.034,
2001-09,0.026,
2001-10,0.026,
2001-11,0.031,
2001-12,0.025,
2002-01,0.023,
2002-02,0.022,
2002-03,0.016,
2002-04,0.016,
2002-05,0.019,
2002-06,0.017,
2002-07,0.016,
2002-08,0.016,
2002-09,0.017,
2002-10,0.017,
2002-11,0.016,
2002-12,0.022,
2003-01,0.022,
2003-02,0.022,
2003-03,0.021,
2003-04,0.016,
2003-05,0.015,
2003-06,0.016,
2003-07,0.017,
2003-08,0.019,
2003-09,0.016,
2003-10,0.014,
2003-11,0.016,
2003-12,0.018,
2004-01,0.019,
2004-02,0.018,
2004-03,0.021,
2004-04,0.016,
2004-05,0.017,
2004-06,0.017,
2004-07,0.017,
2004-08,0.018,
2004-09,0.019,
2004-10,0.012,
2004-11,0.013,
2004-12,0.027,
2005-01,0.015,
2005-02,0.024,
2005-03,0.013,
2005-04,0.018,
2005-05,0.021,
2005-06,0.021,
2005-07,0.034,
2005-08,0.031,
2005-09,0.038,
2005-10,0.035,
2005-11,0.034,
2005-12,0.036,
2006-01,0.048,
2006-02,0.037,
2006-03,0.031,
2006-04,0.034,
2006-05,0.046,
2006-06,0.037,
2006-07,0.042,
2006-08,0.032,
2006-09,0.038,
2006-10,0.061,
2006-11,0.038,
2006-12,0.043,
2007-01,0.045,
2007-02,0.043,
2007-03,0.044,
2007-04,0.043,
2007-05,0.044,
2007-06,0.043,
2007-07,0.045,
2007-08,0.052,
2007-09,0.036,
2007-10,0.033,
2007-11,0.034,
2007-12,0.061,
2008-01,0.049,
2008-02,0.049,
2008-03,0.049,
2008-04,0.087,
2008-05,0.059,
2008-06,0.061,
2008-07,0.058,
2008-08,0.066,
2008-09,0.065,
2008-10,0.072,
2008-11,0.087,
2008-12,0.088,
2009-01,0.095,
2009-02,0.088,
2009-03,0.101,
2009-04,0.092,
2009-05,0.093,
2009-06,0.094,
2009-07,0.096,
2009-08,0.102,
2009-09,0.126,
2009-10,0.132,
2009-11,0.115,
2009-12,0.105,
2010-01,0.095,
2010-02,0.040,
2010-03,0.113,
2010-04,0.062,
2010-05,0.091,
2010-06,0.124,
2010-07,0.072,
2010-08,0.063,
2010-09,0.127,
2010-10,0.095,
2010-11,0.103,
2010-12,0.162,
2011-01,0.142,
2011-02,0.136,
2011-03,0.120,
2011-04,0.125,
2011-05,0.108,
2011-06,0.156,
2011-07,0.115,
2011-08,0.124,
2011-09,0.180,
2011-10,0.134,
2011-11,0.140,
2011-12,0.175,
2012-01,0.139,
2012-02,0.168,
2012-03,0.148,
2012-04,0.150,
2012-05,0.163,
2012-06,0.244,
2012-07,0.184,
2012-08,0.242,
2012-09,0.228,
2012-10,0.233,
2012-11,0.194,
2012-12,0.271,
2013-01,0.217,
2013-02,0.226,
2013-03,0.282,
2013-04,0.211,
2013-05,0.208,
2013-06,0.275,
2013-07,0.238,
2013-08,0.241,
2013-09,0.128,
2013-10,0.218,
2013-11,0.228,
2013-12,0.235,
2014-01,0.209,
2014-02,0.206,
2014-03,0.220,
2014-04,0.202,
2014-05,0.216,
2014-06,0.229,
2014-07,0.231,
2014-08,0.269,
2014-09,0.259,
2014-10,0.207,
2014-11,0.233,
2014-12,0.256,
