"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SI.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SI.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Slovenia / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:43,
2009-09,214,
2009-10,211,
2009-11,211,
2009-12,202,
2010-01,197,
2010-02,180,
2010-03,173,
2010-04,229,
2010-05,226,
2010-06,219,
2010-07,206,
2010-08,206,
2010-09,193,
2010-10,192,
2010-11,191,
2010-12,180,
2011-01,176,
2011-02,165,
2011-03,167,
2011-04,156,
2011-05,147,
2011-06,137,
2011-07,90,
2011-08,86,
2011-09,86,
2011-10,77,
2011-11,73,
2011-12,74,
2012-01,77,
2012-02,79,
2012-03,70,
2012-04,69,
2012-05,68,
2012-06,64,
2012-07,32,
2012-08,24,
2012-09,28,
2012-10,27,
2012-11,23,
2012-12,23,
2013-01,23,
2013-02,25,
2013-03,27,
2013-04,32,
2013-05,42,
2013-06,43,
2013-07,49,
2013-08,51,
2013-09,55,
2013-10,60,
2013-11,62,
2013-12,63,
2014-01,53,
2014-02,54,
2014-03,59,
2014-04,56,
2014-05,56,
2014-06,70,
2014-07,72,
2014-08,67,
2014-09,67,
2014-10,61,
2014-11,58,
