"",BBK01.OEHL09R,BBK01.OEHL09R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:28,
2002-01,1.132,
2002-04,1.120,
2002-07,1.089,
2002-10,1.085,
2003-01,1.071,
2003-04,1.047,
2003-07,1.024,
2003-10,1.052,
2004-01,0.984,
2004-04,0.950,
2004-07,0.924,
2004-10,0.913,
2005-01,0.867,
2005-04,0.830,
2005-07,0.779,
2005-10,0.783,
2006-01,0.822,
2006-04,0.836,
2006-07,0.859,
2006-10,0.899,
2007-01,0.978,
2007-04,0.977,
2007-07,1.015,
2007-10,1.031,
2008-01,1.016,
2008-04,1.033,
2008-07,1.028,
2008-10,1.073,
2009-01,1.021,
2009-04,0.973,
2009-07,0.861,
2009-10,0.925,
2010-01,0.903,
2010-04,0.835,
2010-07,0.769,
2010-10,0.767,
2011-01,0.677,
2011-04,0.684,
2011-07,0.686,
2011-10,0.709,
2012-01,0.673,
2012-04,0.721,
2012-07,0.701,
2012-10,0.654,
2013-01,0.638,
2013-04,0.606,
2013-07,0.513,
2013-10,0.462,
2014-01,0.428,
2014-04,0.417,
2014-07,0.383,
